,dv,dph,dpg,dqg,dpl,dql
PM,3.73274765993888e-13,9.077288414001237e-14,9.380086797924706e-11,3.4082668701995876e-11,1.6629233711515324e-12,8.351618280134814e-13
RM,9.59725969063982e-13,1.4400954569781463e-13,2.654907192175452e-10,4.025403958296952e-11,4.0257640257880344e-12,2.0382768229070847e-12
RRM,2.830496543792459e-15,5.352507183582319e-15,3.8689118503059665e-15,2.1696035387719606e-12,1.586922695449665e-15,2.1608717279182807e-12
PBIM,3.7347657064167424e-13,9.086617789724466e-14,9.3807438813205e-11,3.4155895134746737e-11,1.6643081198546013e-12,8.418358131283e-13
RBIM,9.60012161190126e-13,1.4384808314233763e-13,2.654978233947072e-10,4.028819681370809e-11,4.0264757680320365e-12,2.0497218427945356e-12
RRBIM,1.1811797390664609e-06,2.0291151426302927e-06,6.0857386790483125e-06,0.0007822277779370533,6.0857388770746095e-06,0.0007822277017628628
BF,2.99910436272111e-11,0.1675683419608149,4.96768376148658e-10,5.497834054512163e-10,5.373124159585064e-12,2.999356091152941e-12
RERCM,1.243031268532951,3.6564607332196415,1.2677267513941093,983.6579089785797,1.019722732681993,348.230898447187
RERRM,0.00011078805605799097,0.00020888562037128057,0.0006690896545372032,0.0789889273559545,0.00039194020592372373,0.030549643952939735
RERCBIM,4.45061721640163,0.6537906291369205,2516.747855467367,984.1816344321625,12.175140840282179,1994.4935387241353
RERRBIM,0.0005490519049222422,0.001159223830065234,0.6771579101270144,0.005246610747884636,0.5649606019568605,0.6182841237711498
REBF,8.126810734099379e-10,0.16756800510433265,7.205270549086138e-12,3.820576160751255e-12,5.9473036629912605e-12,3.182456576016784e-12
MAT,0.0,0.0,0.0,0.0,0.0,0.0
