,$\overline{SSE}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,2.1807611588423647e-11,2.312,7.058193466520559e-05,7.057399195836685e-05,2.5115057400769616e-19
RM,5.215208919399526e-11,2.234,9.354167217848664e-05,9.35519563723669e-05,1.0195602209724246e-18
RRM,7.240190174938953e-13,283.203,6.674265958656056e-08,3.748518668869982e-06,5.129924932946479e-23
PBIM,2.1822303438245588e-11,2.671,7.060641424513534e-05,7.058393095003082e-05,2.9048551152808366e-19
RBIM,5.2161013010595725e-11,2.203,9.352513267613073e-05,9.354239344485576e-05,1.0053038023397783e-18
RRBIM,0.00026330620868962265,29.656,5.6019844840923e-08,0.02624423595892742,1.1480201430220441e-11
BF,0.027928057174288368,1.675000190734863,0.00020776633619263543,796.7391285722011,0.007743671361257701
RERCM,223.1792914852659,16.425,80.9418631565954,1588.5507857921632,471339214.20241964
RERRM,0.018486545807630744,7.5,797.4017700888,1.1996082385575346,132.62752638239368
RERCBIM,918.7837628849142,1.188,363.33612122640955,374.5556260552048,148543842.04435512
RERRBIM,0.3112262537229828,2.404000043869019,4.738469576578426,8.886320030032456,31.50436589060214
REBF,0.027928000989528218,0.5920000076293945,6.598922235737278e-06,796.7623421640442,8.692873777217016e-05
MAT,0.0,0.0484386,1.0870436476025157e-06,1.0870436476025157e-06,0.0
