,$\overline{SSE}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,1.4023492043844317e-14,0.25,1.695936011762364e-06,1.6959355531851773e-06,1.0083585567389283e-26
RM,1.8018480906179136e-14,0.297,2.001429235032673e-06,2.001430508571673e-06,2.143657402974183e-26
RRM,1.3966822274557874e-17,60.328,5.032307947086534e-11,5.699104426229451e-11,2.4165198051440286e-36
PBIM,1.4023545309407934e-14,0.266,1.6959360713444775e-06,1.6959380536455196e-06,1.0728991991083428e-26
RBIM,1.8018594197318393e-14,0.297,2.001428242887071e-06,2.0014344142074703e-06,2.1436740017603437e-26
RRBIM,9.29233882951338e-12,0.265,6.021673753815043e-09,3.090813032491889e-05,4.583116198207139e-25
BF,0.011539602258014313,0.5299999713897705,1.4210636945687343e-05,258.75778031290685,2.2489181391868307e-05
RERCM,2.62333054716247e-10,2.141,3.4771508905221196e-05,0.00019190196239484867,3.747767465820682e-18
RERRM,0.011539563052861425,2.906,0.00021590807621174645,258.7557870764018,0.0018734578812753023
RERCBIM,1.9608267167463785e-09,0.078,0.00013021338115525244,0.000581581665342207,1.1582442186539515e-17
RERRBIM,7.66478837398625e-10,0.078,6.683652861185505e-05,0.00033317510094189526,1.3313161312571128e-18
REBF,0.011539601822909508,0.1239998340606689,6.2239716070887005e-06,258.75529184661247,2.3044578594208405e-06
MAT,0.0,0.0350962,9.989515712674132e-08,9.989515712674132e-08,0.0
