,dv,dph,dpg,dqg,dpl,dql
PM,7.28451826049993e-14,8.245569167879711e-16,1.3326359684969157e-09,8.330723071227824e-10,1.8997134972236286e-14,6.065283261016582e-15
RM,9.662560063719062e-14,9.132320508154002e-15,3.1584259188783814e-09,8.565632437346456e-10,2.5769536811515645e-14,8.783185093082456e-15
RRM,9.608608180639495e-18,5.159934959429894e-17,2.7890387976606287e-14,3.2807261924527887e-13,2.7890420012981844e-14,3.2774579816632243e-13
PBIM,7.284379503060568e-14,8.246191602744586e-16,1.3326341865664767e-09,8.33072578878469e-10,1.8994493420143325e-14,6.068521353358068e-15
RBIM,9.662568628081923e-14,9.132370876918826e-15,3.1584256878783324e-09,8.565650904478077e-10,2.5741773410563465e-14,8.789085375087707e-15
RRBIM,6.205156138485456e-15,1.365089342141178e-17,1.188932260228161e-11,3.3228498174229864e-11,1.1888872276013506e-11,3.3221120487534466e-11
BF,7.865066292744918e-10,0.27945670703476094,4.559567425069134e-10,2.7759660228768745e-11,5.032035220927119e-12,9.471058848402406e-13
RERCM,5.609122412093914e-05,0.2794768904310658,0.15514904976834765,0.8606975296056645,0.01178068285722765,0.021064115837880898
RERRM,2.3799374127857633e-06,2.885724755890326e-07,0.00010223196897353574,0.00013730168249333636,2.432609820303951e-05,2.775716778449478e-05
RERCBIM,9.56173072343012e-09,2.942983394998067e-11,7.879590673006009e-06,1.8819595917178346e-05,8.627826084807781e-06,3.505947039421615e-05
RERRBIM,8.878605690190005e-12,4.3829364488082873e-13,6.361099569692548e-09,7.769151487236054e-09,2.5341536203348434e-08,1.3494436033810072e-07
REBF,3.709006928605952e-10,0.27945674133785714,1.6981511041745092e-12,3.3858033174473514e-13,3.6473207743137396e-13,8.405147204824493e-14
MAT,0.0,0.0,0.0,0.0,0.0,0.0
