,dv,dph,dpg,dqg,dpl,dql
PM,5.378765459432772e-13,5.098491652084429e-14,2.3011936335534912e-09,1.95743520781555e-10,6.741233060284793e-14,2.906420591384513e-14
RM,5.800455654917861e-13,1.466660573899227e-14,2.095079164672768e-09,4.2783518681443194e-10,6.955249206721057e-14,2.99918429899302e-14
RRM,8.42906118788263e-15,0.00011354649678757954,2.426923752404941e-11,3.376934764498812e-10,2.4235179710401894e-11,3.3763094384215076e-10
PBIM,5.378764507506199e-13,5.0985612680106055e-14,2.301199335767541e-09,1.9574105353292196e-10,6.744457986215995e-14,2.9039008335847544e-14
RBIM,5.80045409554274e-13,1.466696993575049e-14,2.0950841611729207e-09,4.2783150969775727e-10,6.95701562624676e-14,2.9961331658662896e-14
RRBIM,3.905731199276148e-18,0.0001135465776365206,1.28285848078923e-14,4.694224648937382e-15,5.288466590533068e-19,2.307474168793833e-19
BF,3.904563854717911e-18,0.0002473240638992229,1.2830279246407648e-14,4.6886539036696084e-15,5.319220697593079e-19,2.290518581794181e-19
RERCM,1.2198554396901772e-12,0.00024731616660231194,2.707717565376856e-09,1.1662799966608719e-09,2.717505886129696e-09,1.1701651957077073e-09
RERRM,9.371191738729025e-11,0.00011354887755075842,8.425547386551195e-07,3.628034612160078e-07,8.425236468420132e-07,3.6279541140189804e-07
RERCBIM,8.218498599542782e-06,0.00011361830940714191,0.02118876418053438,0.009123954764838627,0.021188813217009807,0.009124020660763262
RERRBIM,0.0023142336538060173,0.00041232337079943806,7.547087475411309,5.459839309415508,6.546845796373159,2.81910816281683
REBF,0.15702853969488,0.0002864311413803905,515.6204955447397,222.02905025124647,515.6205055500179,222.02905361280017
MAT,0.0,0.0,0.0,0.0,0.0,0.0
