,dv,dph,dpg,dqg,dpl,dql
PM,9.835487703677315e-13,1.734311047195589e-14,1.5403470163608362e-10,1.2855943662370522e-10,4.437031385204369e-12,2.2349844396869302e-12
RM,1.8689951942518414e-12,1.429195724172114e-14,3.9044543972469887e-10,1.425816395200754e-10,8.716670049436357e-12,4.402924537438074e-12
RRM,4.5503414180051e-16,8.174602662522356e-16,1.6615939995235196e-15,3.2145684773435313e-13,1.3764370081137435e-15,3.222918899701045e-13
PBIM,9.839282742072347e-13,1.7405887868794465e-14,1.5404721544091451e-10,1.2867000659634226e-10,4.4392630430348225e-12,2.2472733080352606e-12
RBIM,1.8684654374570878e-12,1.4353950665939298e-14,3.9043366047927375e-10,1.4246071793111447e-10,8.714504167373094e-12,4.3991927165771986e-12
RRBIM,3.0086317550659633e-05,5.1509425801728706e-05,0.00016750935659573697,0.01974145776040645,0.00016750935710863353,0.019741457542239608
BF,3.716987018464384e-11,0.20312633452513512,3.992052453701012e-10,5.319264014655466e-10,4.7562983523005756e-12,2.624040533180019e-12
RERCM,1.5131247260036522,4.508257301875707,1.5996979709711907,1192.995741222508,1.1159399493580424,398.7644918641971
RERRM,0.0004690200664536081,0.0010488589101524423,0.032332503335359385,0.3443826034461239,0.0017420028341386588,0.13027447298070194
RERCBIM,1.4981367153244824,3.1955586381349823,0.2619189159150065,1192.9954996307767,0.21139653337823117,909.6584372007106
RERRBIM,0.0007224477772174796,0.001501533801731856,0.8580047537500975,0.006619387651661911,0.6247220461153348,0.6299792382277234
REBF,1.03841527672645e-08,0.20312542442373477,1.662907680933335e-10,8.868277663703978e-11,1.3691916071443735e-10,7.39692195900999e-11
MAT,0.0,0.0,0.0,0.0,0.0,0.0
