,$\overline{SSE}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,4.83778409942533e-11,2.36,9.233952999685357e-05,9.232779607879887e-05,9.733714734190539e-19
RM,9.133832683052371e-11,2.375,0.0001217114477205588,0.00012171130648532787,3.2135052834448817e-18
RRM,1.0800987718669128e-13,206.719,6.531208055762447e-08,2.277066147894512e-06,3.320573007659015e-24
PBIM,4.840084875840048e-11,2.203,9.232310408534931e-05,9.235240492540641e-05,9.091301941138108e-19
RBIM,9.131514911374359e-11,2.375,0.00012169457881439838,0.00012169732092103253,3.2118754523333597e-18
RRBIM,0.006649921626617136,43.391,5.649775850230317e-08,0.1313798437401286,2.1417863427231176e-09
BF,0.03385438925013617,1.975000143051147,0.00019270046782693504,870.5284988691028,0.01121625507131621
RERCM,266.74954217248563,13.578,69.87234345203723,1745.5803329841467,441758217.13401014
RERRM,0.08504157692882168,7.609,872.8477733691118,3.735974550209022,2110.0915887756223
RERCBIM,351.3034912723734,9.563,21.18085098101128,163.01924582719366,11600024.486980272
RERRBIM,0.3535915678872945,2.316999912261963,5.173017832376561,9.558970846523845,40.511938970119374
REBF,0.033854239212291574,0.6629998683929443,1.6775950523945938e-05,870.6239541590958,0.00032782664525970453
MAT,0.0,0.0537853,4.525555153881885e-07,4.525555153881885e-07,0.0
