,dv,dph,dpg,dqg,dpl,dql
PM,8.427564874079604e-15,1.010202860466612e-16,5.026638695508116e-12,1.0532093867127872e-13,3.333554765126536e-15,6.696934633531689e-16
RM,9.259534174570689e-15,2.611874685751434e-16,1.4475423076767854e-11,1.4603993110438025e-13,3.8735627061449465e-15,7.629733139874496e-16
RRM,6.063877509551637e-19,3.6880300985782056e-19,2.0263404704423597e-16,1.9584381808665344e-15,1.725632417193703e-16,1.9251627115039016e-15
PBIM,8.427823373410272e-15,1.0104010398432067e-16,5.026740775166575e-12,1.052484565071697e-13,3.3340040451780004e-15,6.683962773366858e-16
RBIM,9.259581223345773e-15,2.6119492972024834e-16,1.4475249570186817e-11,1.4598180709260493e-13,3.874400990259109e-15,7.599183687673407e-16
RRBIM,7.149643216543787e-15,1.6526548224101526e-17,1.3179830657555089e-11,3.710957078324065e-11,1.3184672877201924e-11,3.710400511555033e-11
BF,1.7294430127356967e-09,0.33104871171997163,3.2550215756971913e-10,2.1896268611548848e-11,1.4824020811989396e-11,2.803788893823836e-12
RERCM,3.5528849394224395e-08,0.33105898062253564,4.335224560858945e-05,0.00012243864996437577,0.00042250455934983466,0.000565367041456633
RERRM,1.902799773953663e-05,7.808657765071253e-07,0.012450367850164757,0.0058814233214425984,0.00019843869262992257,0.0005791533693391788
RERCBIM,8.275771622608586e-08,2.3179421799651698e-10,7.509307165899996e-05,0.0001967738987037446,6.478969608431986e-05,0.00011847629441000826
RERRBIM,3.09868112596282e-10,1.7903528705166165e-11,2.332182427439124e-07,3.264037203703562e-07,5.841485247587248e-07,4.710895101383417e-07
REBF,3.601372227191694e-10,0.33104898283510553,2.801069514338576e-12,5.759884284064847e-13,5.726333734732707e-13,1.1327036990666087e-13
MAT,0.0,0.0,0.0,0.0,0.0,0.0
