,$\overline{SSE}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,8.574152445946669e-13,0.6559999999999999,1.5059063071438391e-05,1.505913732269021e-05,1.2755370740303635e-22
RM,2.4392700442559193e-12,0.625,2.2949604701050897e-05,2.294924126721487e-05,8.0294064192509335e-22
RRM,7.099622286491426e-16,274.188,3.500934586908545e-09,1.3623704465376687e-07,9.284593584575459e-29
PBIM,8.574200825789423e-13,0.578,1.5059030864731363e-05,1.505903020774126e-05,1.1238685486242803e-22
RBIM,2.4392310787985855e-12,0.625,2.29495605654807e-05,2.294926147447758e-05,8.029269784082904e-22
RRBIM,1.6764207600552128e-11,3.093,1.0100414400069898e-08,4.530061628956943e-05,2.3725001747614686e-23
BF,0.05517478563574016,1.001000165939331,0.00011898651726275942,391.88795380774997,0.002575339392380608
RERCM,0.05536877977462742,0.594,391.8074412408264,391.83084664366135,5049.20147044868
RERRM,0.00318819868284875,12.156,390.69838046525894,0.882226093920083,13.358496448342349
RERCBIM,7.586932506125279e-05,0.406,0.19822510147724834,0.13532703062132664,8.262956292352387e-07
RERRBIM,2.6919796160877276e-07,2.414000034332275,0.012583864892743475,0.012683414519202173,1.037192271673286e-10
REBF,0.05517483053321762,0.2980000972747803,1.2895189258909832e-05,392.9193314446418,8.330834957228222e-05
MAT,0.0,0.0359526,5.731305997267374e-08,5.731305997267374e-08,0.0
