,dv,dph,dpg,dqg,dpl,dql
PM,8.432478378404015e-15,1.7470182446889956e-15,4.212111392489667e-11,1.1143774147632757e-12,1.0322043534384697e-15,4.398960507798653e-16
RM,9.376133077143829e-15,1.210030724389809e-15,4.220215614856957e-11,2.7560112135155593e-12,1.12482404831615e-15,4.799652653094651e-16
RRM,7.101240969576162e-18,0.0001356987090047712,4.233011989803927e-14,8.660186362026126e-14,3.728350888585161e-14,6.582160475638994e-14
PBIM,8.432493021711914e-15,1.7468580770811191e-15,4.2120209223837417e-11,1.1145826109880239e-12,1.0272320956144918e-15,4.430219590479164e-16
RBIM,9.376222439356484e-15,1.2099265621920712e-15,4.22016823702172e-11,2.7563383885290743e-12,1.122731378542845e-15,4.828061041686215e-16
RRBIM,4.9866427413069266e-18,0.00013569870423328696,1.631088281633314e-14,5.982041991795055e-15,6.967795533822503e-19,2.864773300109974e-19
BF,4.985777596244819e-18,0.0002954130635582626,1.631383403145421e-14,5.9764823348518464e-15,6.916581494775315e-19,2.9783449897586997e-19
RERCM,1.1096569421078122e-11,0.0002954151140961438,2.3743530424569173e-08,1.0225096968714352e-08,2.377569585183919e-08,1.0237921027730529e-08
RERRM,9.648178672136231e-12,0.0001356976558507473,1.0095446892960074e-07,4.346897069243093e-08,1.0093243441612197e-07,4.3462089507050136e-08
RERCBIM,1.7046832431666295e-09,0.0001357589881247849,3.911095896577316e-06,1.6841386954180544e-06,3.911488480852628e-06,1.6843086655306768e-06
RERRBIM,6.301269918934963e-13,0.00013580769923650577,2.8636183979581018e-09,4.1575567563928197e-10,1.4960667920919077,0.6442146702977692
REBF,0.1891234403841922,0.000342634474723296,621.1369513530703,267.4650266764026,621.1369776094137,267.4650325541701
MAT,0.0,0.0,0.0,0.0,0.0,0.0
