,$\overline{SSE}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,7.207857156114543e-12,0.328,3.713983092650886e-05,3.71400056795483e-05,3.26108338074603e-21
RM,7.495059719200047e-12,0.297,3.9990038252530214e-05,3.999009061216318e-05,3.559883246398043e-21
RRM,2.261645153946924e-05,36.062,3.2241846284822295e-09,398.0092429932564,1.046615919569737e-09
PBIM,7.207740239996482e-12,0.281,3.7140032113803546e-05,3.7140075586495586e-05,2.79376906909411e-21
RBIM,7.495035407538422e-12,0.297,3.999012764755675e-05,3.999042686159799e-05,3.559909589690847e-21
RRBIM,2.2616450709264308e-05,0.64,3.0829763061034077e-09,398.0093179570677,1.7761017860032647e-11
BF,4.923551059675982e-05,0.141,3.085899591415142e-14,420.81808828107376,9.015166432623003e-17
RERCM,4.924718457283101e-05,0.203,24.326065027996044,420.82549924689886,0.10234140050071891
RERRM,2.2664413910411857e-05,1.033,2.3892994624463704e-08,398.0702867614521,2.2267689735968022e-10
RERCBIM,2.449195409106779e-05,0.234,5.112292728948545e-08,398.12724901469664,1.1664789623004403e-10
RERRBIM,0.35673621222815294,0.4619998931884766,21.716235823019066,397.95565226858196,1424.3223806741287
REBF,296.232242377986,0.7940001487731934,2.2213112286547626e-05,701.7521865301492,3.6664527814695957
MAT,0.0,0.0221649,8.716081330464403e-07,8.716081330464403e-07,0.0
