,dv,dph,dpg,dqg,dpl,dql
PM,5.509224663421482e-13,1.0342058459226369e-14,8.519912500319865e-11,7.257758611015095e-11,1.8841116334361908e-12,9.45116422236856e-13
RM,1.0123794398739973e-12,7.400203943140368e-15,2.1059373863823025e-10,7.681108413654403e-11,3.6062030684190034e-12,1.8244817890979123e-12
RRM,2.2542501504210314e-18,6.974587603672207e-19,4.008926496729156e-16,5.572401354991341e-16,5.58878451256042e-18,4.0280950263966153e-16
PBIM,5.509773309640225e-13,1.0347532593841928e-14,8.520326266061465e-11,7.259135223818554e-11,1.8848913389327746e-12,9.54275930832335e-13
RBIM,1.0122053075823556e-12,7.421407287394751e-15,2.1058995380021275e-10,7.677113655601651e-11,3.6059648349510854e-12,1.8099743816032048e-12
RRBIM,2.403315242401709e-14,1.1004041231313405e-14,3.0528060184950544e-12,9.977775340381256e-12,3.0533074649430095e-12,9.977066011580387e-12
BF,2.8729397184692686e-09,0.12685513585307623,4.494964275214726e-10,4.190804419806464e-10,3.602083708318341e-12,2.010267032445071e-12
RERCM,0.9565540639219878,2.80067362660467,0.8501372745904101,755.0587174408938,0.624125972492777,246.54943195856305
RERRM,0.000201764815381144,0.0004306776128312741,0.009345275078925038,0.15126571476506112,0.0004396874995012256,0.05479094241638826
RERCBIM,0.9432772455249877,1.988493392772018,0.12079546038355421,755.0582561920087,0.08974211597846923,581.730166249602
RERRBIM,0.017115116082098106,0.03231802211880861,0.02951536077698869,12.88992588119521,0.14318520511724908,252975.45962456815
REBF,4.89687252852137e-10,0.1268549469142067,1.6112603579799353e-12,8.824579605628266e-13,1.0728737135857795e-12,6.108620924330361e-13
MAT,0.0,0.0,0.0,0.0,0.0,0.0
