,$\overline{SSE}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,2.6861200615637336e-11,2.531,6.843592036196475e-05,6.84297256528848e-05,3.18380511903226e-19
RM,4.8975881212684726e-11,2.484,8.851541989381064e-05,8.85214914661886e-05,9.53238351371412e-19
RRM,2.2824713020584333e-16,328.265,4.9595418611997e-08,9.423898322091926e-08,3.5018864352401632e-28
PBIM,2.6865851172020528e-11,2.172,6.839843149249978e-05,6.841488556990042e-05,2.730594260366418e-19
RBIM,4.896610938127555e-11,2.453,8.851833231822458e-05,8.850996495608023e-05,9.41062653576281e-19
RRBIM,4.3493320048425055e-12,26.781,5.127214753753219e-08,6.646747196201006e-06,3.969538509191523e-23
BF,0.021142523266700866,2.49399995803833,0.00021400183429121544,680.6029472938129,0.007680059423344329
RERCM,167.80660672284444,15.701,57.652015987685544,1353.433872564974,205583335.90816844
RERRM,0.03607901036468134,9.25,682.2186234967897,2.3879488663728505,543.681985145573
RERCBIM,223.3217884427116,6.688,15.628674035013923,125.48701179637702,2929194.921446964
RERRBIM,42164.76194735891,2.407000064849854,1834.2368716067958,36.35752622205953,6768236100.711929
REBF,0.02114249123467857,0.5850000381469727,6.2675228189708184e-06,680.6994385833118,5.276711739738646e-05
MAT,0.0,0.0439739,5.945960108733468e-07,5.945960108733468e-07,0.0
