,dv,dph,dpg,dqg,dpl,dql
PM,1.8085954034660924e-16,6.511727493948107e-18,4.7302749829176035e-14,1.3141073895882573e-14,1.6689755180099189e-16,7.426824052448723e-17
RM,9.860931339351972e-16,1.2496215461450562e-17,3.466436343405927e-14,2.29440271515755e-14,8.128262923169351e-16,3.8795994054591636e-16
RRM,1.7438862344615924e-18,1.5870387430889069e-19,7.478162142184754e-17,4.23689638516602e-17,1.188181226771097e-18,6.079341628318559e-19
PBIM,1.808585441404333e-16,6.511584259146195e-18,4.730333168719383e-14,1.3140929218575561e-14,1.6693895268761254e-16,7.42649478828352e-17
RBIM,9.8609837067259e-16,1.2496434602709024e-17,3.466429237841954e-14,2.2944222963651863e-14,8.127570743403732e-16,3.8798026450250216e-16
RRBIM,8.57421125157678e-12,2.782260843608446e-13,2.3037911221674083e-10,6.649961238767092e-11,2.3025605595974705e-10,6.64572584355118e-11
BF,5.564919518140113e-13,0.05093332956945389,5.199866946800611e-12,6.7300941640035e-12,1.2593425303674566e-13,6.560399145971502e-14
RERCM,4.133872438071402e-10,2.167252342074665e-12,5.449331856102433e-08,2.335142025807195e-08,3.5747956977529685e-08,1.687391496212134e-08
RERRM,2.1676102645692234e-12,0.05093330568628168,2.539839282560299e-10,1.5802027651920069e-10,1.6510135373196613e-10,1.202412287153398e-10
RERCBIM,2.2558859176958814e-11,3.9016046632737165e-13,4.24425393524824e-09,9.369696792840757e-10,2.272249066284608e-09,9.374275502811783e-10
RERRBIM,9.374577479181618e-11,1.4968299544521996e-12,1.798108030816447e-08,3.889398609588458e-09,9.340990295910364e-09,3.891034378668235e-09
REBF,2.1427062111671698e-12,0.05093332415163819,1.5158563234132442e-14,7.705445059264853e-15,2.3046078351360354e-14,2.253448518542041e-14
MAT,0.0,0.0,0.0,0.0,0.0,0.0
