,dv,dph,dpg,dqg,dpl,dql
PM,7.009983622317625e-13,6.602645654681974e-14,2.996551214505366e-09,2.562051685654893e-10,8.195906926389386e-14,3.5328136973768734e-14
RM,7.383893421213758e-13,1.8265795258468878e-14,2.66211107479826e-09,5.480088544880358e-10,8.25883716923557e-14,3.560259968531677e-14
RRM,4.701104851684995e-16,8.91066099857061e-05,1.9574491714120135e-12,2.176027369219078e-11,1.9488656180070566e-12,2.175325163713392e-11
PBIM,7.009991161295363e-13,6.602723669436033e-14,2.996560461067649e-09,2.562029566878874e-10,8.200354031218516e-14,3.530280733476791e-14
RBIM,7.383896161473402e-13,1.8266265301807433e-14,2.6621189082657255e-09,5.480045976733604e-10,8.260168204016664e-14,3.5574235798159387e-14
RRBIM,2.256918073154692e-18,8.910661864489387e-05,7.402060780574998e-15,2.7138215568358834e-15,2.999014023900513e-19,1.2977533771104783e-19
BF,2.2586731429264608e-18,0.0001941473674139531,7.412325835310914e-15,2.7115526525075016e-15,3.0027087405928575e-19,1.2929798933086452e-19
RERCM,5.430697473773877e-06,0.00019409217102775374,0.01279261335323478,0.005508547991869936,0.012792673873661462,0.005508596407479069
RERRM,4.971175153583939e-05,8.911268145074235e-05,0.14990072455787817,0.06454886090844564,0.14990111765259742,0.06454825384418506
RERCBIM,3.375898286481091e-08,8.913537567404701e-05,9.57452142892637e-05,4.1228329801424796e-05,9.574653284977926e-05,4.122898885234052e-05
RERRBIM,2.121248495343583e-10,8.908764107450846e-05,8.621642434113054e-07,2.2904930368697314e-07,0.01749741871845575,0.007534485684830438
REBF,0.12378502002357568,0.00022484008288526557,406.47240733863464,175.02927436771512,406.47241066368025,175.02927771094204
MAT,0.0,0.0,0.0,0.0,0.0,0.0
