,$x$,F,I/S,Gap,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
\multirow{5}{*}{IEEE33},$P_{loss}$,REBF,G,$1.08e-01$,$\cellcolor{green}2.2e+00$,$2.16e+04$,$8.88e-07$,$4.23e-06$,$1.78e-07$
,$t[s]$,Meta,GWO_PAR,*,$3.16e+00$,$\cellcolor{green}1.11e+02$,$4.66e-08$,$4.65e-08$,$7.58e-13$
,Inf1,PM,AB,$7.32e-02$,$2.24e+00$,$2.16e+04$,$\cellcolor{green}5.42e-10$,$5.4e-10$,$1.41e-14$
,Inf2,PM,AB,$7.32e-02$,$2.24e+00$,$2.16e+04$,$5.42e-10$,$\cellcolor{green}5.4e-10$,$1.41e-14$
,$\Pi |x|$,PM,AB,$7.32e-02$,$2.24e+00$,$2.16e+04$,$5.42e-10$,$5.4e-10$,$\cellcolor{green}1.41e-14$
\multirow{5}{*}{IEEE69},$P_{loss}$,REBF,G,$1.08e-01$,$\cellcolor{green}1.98e+00$,$2.16e+04$,$2.41e-07$,$3.35e-06$,$3.46e-08$
,$t[s]$,Meta,GWO_PAR,*,$3.25e+00$,$\cellcolor{green}1.37e+02$,$6.83e-08$,$6.93e-08$,$2.10e-12$
,Inf1,PM,AB,$7.96e-02$,$2.12e+00$,$2.16e+04$,$\cellcolor{green}9.38e-10$,$9.48e-10$,$4.09e-14$
,Inf2,PM,AB,$7.96e-02$,$2.12e+00$,$2.16e+04$,$9.38e-10$,$\cellcolor{green}9.48e-10$,$4.09e-14$
,$\Pi |x|$,PM,AB,$7.96e-02$,$2.12e+00$,$2.16e+04$,$9.38e-10$,$9.48e-10$,$\cellcolor{green}4.09e-14$
\multirow{5}{*}{SA},$P_{loss}$,PM,AB,$0.e+00$,$\cellcolor{green}4.11e-02$,$1.24e+04$,$7.03e-09$,$6.91e-09$,$2.47e-14$
,$t[s]$,Meta,GWO_PAR,*,$5.79e-02$,$\cellcolor{green}1.14e+02$,$2.57e-07$,$2.54e-07$,$4.31e-13$
,Inf1,PM,AB,$0.e+00$,$4.11e-02$,$1.24e+04$,$\cellcolor{green}7.03e-09$,$6.91e-09$,$2.47e-14$
,Inf2,PM,AB,$0.e+00$,$4.11e-02$,$1.24e+04$,$7.03e-09$,$\cellcolor{green}6.91e-09$,$2.47e-14$
,$\Pi |x|$,PM,AB,$0.e+00$,$4.11e-02$,$1.24e+04$,$7.03e-09$,$6.91e-09$,$\cellcolor{green}2.47e-14$
\multirow{5}{*}{CA141},$P_{loss}$,PM,AB,$3.38e-03$,$\cellcolor{green}6.54e+00$,$4.57e+04$,$4.33e-06$,$4.32e-06$,$5.59e-06$
,$t[s]$,Meta,GWO_PAR,*,$9.3e+00$,$\cellcolor{green}1.53e+02$,$2.e-07$,$7.93e-08$,$2.25e-11$
,Inf1,Meta,GWO_PAR,*,$9.3e+00$,$1.53e+02$,$\cellcolor{green}2.e-07$,$7.93e-08$,$2.25e-11$
,Inf2,Meta,GWO_PAR,*,$9.3e+00$,$1.53e+02$,$2.e-07$,$\cellcolor{green}7.93e-08$,$2.25e-11$
,$\Pi |x|$,Meta,GWO_PAR,*,$9.3e+00$,$1.53e+02$,$2.e-07$,$7.93e-08$,$\cellcolor{green}2.25e-11$
