,$x$,F,I/S,Gap,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
\multirow{5}{*}{IEEE33},$P_{loss}$,PM,AB,$7.82e-02$,$\cellcolor{green}2.77e+00$,$2.16e+04$,$1.68e-11$,$1.35e-11$,$1.36e-17$
,$t[s]$,Meta,GWO_PAR,*,$4.31e+00$,$\cellcolor{green}1.23e+02$,$2.8e-08$,$2.8e-08$,$4.16e-13$
,Inf1,PM,AB,$7.82e-02$,$2.77e+00$,$2.16e+04$,$\cellcolor{green}1.68e-11$,$1.35e-11$,$1.36e-17$
,Inf2,PM,AB,$7.82e-02$,$2.77e+00$,$2.16e+04$,$1.68e-11$,$\cellcolor{green}1.35e-11$,$1.36e-17$
,$\Pi |x|$,PM,AB,$7.82e-02$,$2.77e+00$,$2.16e+04$,$1.68e-11$,$1.35e-11$,$\cellcolor{green}1.36e-17$
\multirow{5}{*}{IEEE69},$P_{loss}$,REBF,G,$1.46e-01$,$\cellcolor{green}2.58e+00$,$2.16e+04$,$7.35e-07$,$3.08e-06$,$1.26e-07$
,$t[s]$,Meta,GWO_PAR,*,$3.85e+00$,$\cellcolor{green}1.36e+02$,$2.01e-08$,$2.02e-08$,$2.12e-13$
,Inf1,PM,AB,$1.35e-02$,$2.71e+00$,$2.16e+04$,$\cellcolor{green}1.03e-09$,$1.34e-09$,$8.06e-14$
,Inf2,PM,AB,$1.35e-02$,$2.71e+00$,$2.16e+04$,$1.03e-09$,$\cellcolor{green}1.34e-09$,$8.06e-14$
,$\Pi |x|$,PM,AB,$1.35e-02$,$2.71e+00$,$2.16e+04$,$1.03e-09$,$1.34e-09$,$\cellcolor{green}8.06e-14$
\multirow{5}{*}{SA},$P_{loss}$,PM,AB,$0.e+00$,$\cellcolor{green}4.80e-02$,$3.97e+03$,$1.39e-08$,$1.38e-08$,$3.67e-14$
,$t[s]$,Meta,GWO_PAR,*,$7.34e-02$,$\cellcolor{green}1.18e+02$,$3.04e-07$,$3.00e-07$,$7.93e-13$
,Inf1,PM,AB,$0.e+00$,$4.80e-02$,$3.97e+03$,$\cellcolor{green}1.39e-08$,$1.38e-08$,$3.67e-14$
,Inf2,PM,AB,$0.e+00$,$4.80e-02$,$3.97e+03$,$1.39e-08$,$\cellcolor{green}1.38e-08$,$3.67e-14$
,$\Pi |x|$,PM,AB,$0.e+00$,$4.80e-02$,$3.97e+03$,$1.39e-08$,$1.38e-08$,$\cellcolor{green}3.67e-14$
\multirow{5}{*}{CA141},$P_{loss}$,PM,AB,$1.05e-01$,$\cellcolor{green}9.13e+00$,$2.16e+04$,$9.97e-07$,$9.83e-07$,$1.93e-07$
,$t[s]$,Meta,GWO_PAR,*,$1.29e+01$,$\cellcolor{green}1.69e+02$,$1.67e-07$,$5.91e-08$,$2.15e-11$
,Inf1,Meta,GWO_PAR,*,$1.29e+01$,$1.69e+02$,$\cellcolor{green}1.67e-07$,$5.91e-08$,$2.15e-11$
,Inf2,Meta,GWO_PAR,*,$1.29e+01$,$1.69e+02$,$1.67e-07$,$\cellcolor{green}5.91e-08$,$2.15e-11$
,$\Pi |x|$,Meta,GWO_PAR,*,$1.29e+01$,$1.69e+02$,$1.67e-07$,$5.91e-08$,$\cellcolor{green}2.15e-11$
