,CB,SOC0,ZB,PB,SOC
0,11.944625,0.4148728603799873,104,3.674024386121411,0.1072847737368011
1,0.0,0.0,1,-9.049248912471542,0.8648848509326615
2,0.0,0.0,94,2.651708404700932,0.642884714619287
3,0.0,0.0,96,1.913731228033025,0.4826677794776537
4,0.0,0.0,97,1.729956055220473,0.337836440030884
5,0.0,0.0,98,1.589769626338896,0.2047414612887166
6,0.0,0.0,1,-9.499065236782963,1.0
7,0.0,0.0,105,2.13794212324465,0.8210122140336226
8,0.0,0.0,103,2.643676246040524,0.5996845273434194
9,0.0,0.0,100,3.625771158528221,0.2961361846948058
10,0.0,0.0,99,3.537235590276711,1.006043297118703e-08
11,0.0,0.0,1,-11.944625,1.0
12,0.0,0.0,94,2.276389166339214,0.8094214741505721
13,0.0,0.0,95,2.686532507293371,0.5845058756737082
14,0.0,0.0,97,1.438931295758392,0.4640390312659154
15,0.0,0.0,99,2.699862935595382,0.2380074138124115
16,0.0,0.0,100,2.842909451271214,0.0
17,0.0,0.0,1,-11.944625,0.9999999901368432
18,0.0,0.0,103,1.817465820869974,0.8478423625248664
19,0.0,0.0,103,2.87717198936898,0.6069664906889605
20,0.0,0.0,101,4.612232941848344,0.2208318991236978
21,0.0,0.0,107,2.637754368728398,0.0
22,0.0,0.0,1,-9.853533998170233,0.8249345442348694
23,0.0,0.0,98,4.898033089443192,0.4148728603799873
