,dv,dph,dpg,dqg,dpl,dql
PM,3.4702427094126154e-15,8.748476424296342e-16,4.3413938069522306e-15,1.0929458730677857e-15,2.2195129429398585e-13,1.8520469259184184e-13
RM,4.742022547287138e-16,3.509188070044876e-16,8.551255190971047e-16,5.546894396062533e-16,5.113608000916762e-14,1.818605060244466e-13
RRM,5.0836806993740106e-09,2.303515409508341e-09,4.0881113166846e-10,1.2834832139116227e-10,4.3183228741426594e-10,1.4801202004275432e-10
PBIM,4.0704574247273925e-14,7.951929446237061e-15,1.849070790642964e-14,4.1947333676611114e-15,3.3484962606497845e-13,8.005671175886352e-13
RBIM,0.0,0.0,0.0,0.0,0.0,0.0
RRBIM,8.999828957272875e-07,3.69841930620904e-07,3.244936261663329e-07,7.291285099900073e-08,3.2513265999945627e-07,7.336579592164809e-08
BF,7.097908005994028e-13,0.0024411505819471402,3.158726388048483e-14,2.0202670615753676e-14,2.8407515047718e-12,1.4284576651594168e-11
RERCM,0.00010003427805005498,0.000375705468019595,11.086643578098862,34037.8148058015,0.0015837166381103551,0.11841261697481054
RERRM,0.0003949104899320333,3.1188715379905806e-05,0.10020711306803566,0.0556520251478089,0.10025189296658184,0.05565162932232055
RERCBIM,6.26448771682442e-05,0.00022174789136654904,13.06656069929571,1753730.058789432,0.0007221148072093606,0.0711208248919975
RERRBIM,6.604309525210666e-05,0.00011680348442903488,0.0001522616444953951,0.06182638346453099,0.0001346607328556662,0.04693272140514969
REBF,1.44460837013108e-12,0.0024411523983454307,2.4424451561001107e-14,5.794110660267967e-16,5.148442788304741e-13,7.430103369803741e-13
Meta-GA,2.322093065760524e-06,1.1528410279805184e-06,9.90302426864336e-08,8.723050832809994e-09,9.937770137316601e-08,8.880300813437355e-09
Meta-GWO,1.2153530989672594e-05,6.378767764244883e-06,1.4580065922629294e-06,6.581515411943711e-07,2.241076246208144e-07,6.595091224561146e-07
Meta-PSO,1.8150370646855114e-05,9.262516121901924e-06,5.60884400189872e-06,2.1908158942879223e-06,5.608046691511043e-06,2.1932929274883193e-06
Meta-WOA,5.031163589987716e-05,2.6477505886272008e-05,1.6798291939646795e-05,6.497030851125754e-06,1.6802760330699798e-05,6.501295369446776e-06
