,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,0.3166263928934541,1.719,5.968584699486079e-07,5.985703970520242e-07,1.9445073354814754e-13
RM,0.3166263562467293,36.813,8.997595078930476e-07,8.98583690756604e-07,9.423956014420428e-12
RRM,0.316646546082608,102.375,1.6679698013673683e-09,5.769355062817743e-06,3.11949375787705e-13
PBIM,0.3166264629847424,1.671,1.2685574494539034e-07,1.2933463349775383e-07,8.680577845718042e-15
RBIM,0.3166263270042,34.25,1.4121177754335125e-06,1.4148034028268357e-06,2.166579424057748e-11
RRBIM,0.3171959704243905,65.047,1.2568933433126575e-09,2.1736308349187653e-06,5.636884620262924e-14
BF,0.3166261492761384,1.601000070571899,6.544182163211141e-06,30.79030355246988,0.00010214273455490167
RERCM,-3.013034853671525,0.297,189.4040064019975,182.29113395134186,30896.928833191963
RERRM,7.125585853717809e-05,0.344,0.04727931052153041,0.9182714481474554,1.0641950517721456e-06
RERCBIM,3.931396125939633,0.375,1338.235476370808,1327.2485335804254,2618562.0291566295
RERRBIM,0.3289657615331967,0.25,0.03283319848343632,0.20872156850176,0.0005636003184308903
REBF,0.3166264832874415,0.2200000286102295,1.894031913871997e-09,30.62186002661846,4.040069480221823e-09
Meta-GA,0.31694101771376487,8.1431777,1.8548896762424324e-08,1.8439031040260406e-08,8.827313275072157e-16
Meta-GWO,0.31783380644181497,19.0767676,2.2784050019049318e-08,2.272387050147453e-08,3.1391936642833465e-15
Meta-PSO,0.3189946268167024,8.2689265,2.2383982534266572e-08,2.4173450440892463e-08,1.4272777722826394e-15
Meta-WOA,0.3207248989432596,19.0886577,2.1048482480703684e-08,1.6607934764143856e-08,2.140151351209409e-15
