,dv,dph,dpg,dqg,dpl,dql
PM,1.3411092093097955e-09,9.746199437577515e-10,4.3255169484505183e-10,3.861520603057446e-11,2.3172469230521431e-10,9.19072439926966e-11
RM,1.3412187096081911e-09,9.747014748536325e-10,4.3255201640903895e-10,3.8614979609544374e-11,2.3172496615900051e-10,9.190690756850569e-11
RRM,1.3412981817538304e-09,9.74761218098421e-10,4.3256262071658066e-10,3.8617011505947056e-11,2.3173272170321488e-10,9.191002913658509e-11
PBIM,1.3409717568818287e-09,9.745182636993262e-10,4.3255758382103276e-10,3.8616816784871244e-11,2.3172903313999718e-10,9.190974635985278e-11
RBIM,1.3412187096672245e-09,9.747014721572828e-10,4.325520078321505e-10,3.86149798715351e-11,2.3172494996167013e-10,9.190689326790485e-11
RRBIM,1.341256355475463e-09,9.747302822171962e-10,4.3256244071749555e-10,3.861708868713781e-11,2.3173256456757604e-10,9.191013840886186e-11
BF,5.964340489770638e-07,0.0028192565178437557,2.6304389982270157e-09,9.19233966762169e-10,2.0896267558094348e-09,1.135122890782296e-09
RERCM,0.0,0.0,0.0,0.0,0.0,0.0
RERRM,0.000534425338660492,0.02652931309579069,0.003557982076172511,0.004575407690530031,0.010971502320364607,0.004574951429409901
RERCBIM,5.663455524287634e-10,4.3539865105948095e-10,2.9218421577219717e-10,2.0018739929577338e-12,2.6177707721503334e-10,1.164163801007091e-10
RERRBIM,1.0149835682942787e-11,7.66534534731522e-12,6.975655091557059e-11,2.8216429168412165e-12,1.079490497510259e-11,4.671241840160369e-12
REBF,5.464361363333616e-07,0.0028192290271595684,2.7381538429388477e-09,8.707503998473112e-10,2.185749390954216e-09,1.0811724375500226e-09
Meta-GA,1.6770458994478748e-07,1.7389880732720287e-07,8.860064101741661e-10,1.243026358773605e-10,5.883552107242144e-10,2.1082416131130308e-10
Meta-GWO,5.3418393201869457e-08,4.104963012651389e-08,5.547450961675723e-10,3.758204298816442e-11,2.2603919665481083e-10,9.027091327050897e-11
Meta-PSO,9.287180264433227e-07,1.0996675448794718e-06,1.8185516647403908e-09,2.248135026715895e-09,1.3684952448569461e-09,2.5791348836849174e-09
Meta-WOA,9.190760798061238e-06,7.618305971038736e-06,2.9991577312107536e-08,2.5539386608888097e-08,2.808535946063685e-08,2.662808389834949e-08
