,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,0.1047657190028204,1.735,4.248444808625795e-09,4.249249537305322e-09,3.2814129940898082e-18
RM,0.1047657190105511,1.64,4.3951522412863375e-09,4.394719223949073e-09,3.318700818137187e-18
RRM,0.1047657192654867,2.125,3.4541881074184877e-10,3.457880752566478e-10,2.6590966947221616e-20
PBIM,0.1047657191443963,1.719,1.733472921629231e-09,1.7333786541534613e-09,5.411349460791901e-19
RBIM,0.1047657190103449,1.641,4.394699043043515e-09,4.394650388386823e-09,3.3203299976908038e-18
RRBIM,0.1047657192611594,1.891,3.3304736486022835e-10,3.3354229534571234e-10,2.200734454115205e-20
BF,0.1047962089311997,0.5979998111724854,7.043844674203825e-15,9.71778151566704,4.2896664100551374e-15
RERCM,0.1047449211256488,0.125,6.859153189061381e-05,2.3119904251019813e-05,2.076345019761453e-11
RERRM,0.04509609820203604,0.14,0.046519036467277494,79.70365925578791,0.023408628784531763
RERCBIM,0.1047620145224959,0.297,4.722914834484875e-05,2.2269037678671055e-06,3.272441222584225e-12
RERRBIM,0.1047532731643769,0.172,3.162012225521073e-06,1.802123433182739e-05,1.026701336884962e-12
REBF,0.1047972484974817,0.1069998741149902,1.5499899480228563e-09,9.71835803020679,1.6890982941304161e-10
Meta-GA,0.10477468698545789,6.6281344,2.6753466184602226e-08,2.6753931074013915e-08,4.970674667272242e-16
Meta-GWO,0.1047684741529737,17.4868588,2.7959696661215838e-08,2.795960798909064e-08,1.432207539383758e-15
Meta-PSO,0.10478756560553472,6.6300549,2.6868495157060523e-08,2.6868937171541096e-08,5.015574743066316e-16
Meta-WOA,0.10491810189049325,17.2518376,2.5707158838282618e-08,2.5706606512736208e-08,1.1961471701741533e-15
