,dv,dph,dpg,dqg,dpl,dql
PM,0.0,0.0,0.0,0.0,0.0,0.0
RM,6.504956954267287e-17,2.814156137412915e-17,6.097334432183765e-20,2.2315730329029067e-20,4.782757872938329e-20,2.6868161225078816e-20
RRM,7.010942838816769e-10,2.702444961207872e-06,3.831467032214839e-13,1.6497405940303344e-13,3.831038033625551e-13,1.6498328484800084e-13
PBIM,2.1962380639418732e-27,1.3747278042208637e-26,4.665815642681922e-24,2.303455171184344e-22,3.774296244673883e-23,8.354791642679924e-24
RBIM,6.518501580267677e-17,2.820084109894037e-17,5.175044938655984e-20,1.807270230106641e-20,5.434186539906045e-20,2.132116810961675e-20
RRBIM,6.902905747916769e-10,2.2442486983352085e-06,4.817694178603964e-13,2.0740699491488596e-13,4.817026293315642e-13,2.0744231412822009e-13
BF,1.0743661610956416e-12,4.679256863461555e-06,7.230201489071915e-18,3.2361481017230303e-18,7.337289283080886e-18,7.655331939198401e-13
RERCM,3.25202261039081e-07,1.6989384741706722e-06,1.0732251499212493e-05,4.621367163648165e-06,9.045403341055053e-06,3.4318231005239715e-06
RERRM,1.493854180534452e-09,2.5511154479279896e-06,3.79963054675546e-06,1.6361357565757742e-06,3.8358692016249066e-06,1.6361357324829336e-06
RERCBIM,3.370487551467102e-07,1.7163487784519803e-06,6.8080037186808654e-06,2.931564333109076e-06,5.996894166589619e-06,2.2066036740893435e-06
RERRBIM,1.1746469456017834e-09,2.243859126938605e-06,4.26350092916924e-06,1.835887265396339e-06,3.1210378852772567e-06,1.5537115990501783e-06
REBF,0.004170329691922959,5.186579318949158e-06,13.661617018480289,5.882768169027518,13.661620036860356,5.882761771270121
Meta-GA,1.547485999473046e-11,6.695087368493596e-12,1.5186278911885878e-14,6.533724483895111e-15,1.2684561276990608e-14,5.5165146587738255e-15
Meta-GWO,5.255346809010365e-11,2.272324310565259e-11,3.071133227839902e-13,1.322196431588068e-13,2.952955069310312e-13,1.2748777474506527e-13
Meta-PSO,6.961753712373786e-10,3.012171599390204e-10,4.379104873718912e-13,1.88536764799354e-13,4.237891707720179e-13,1.8287967777926147e-13
Meta-WOA,6.807289219994049e-10,2.9449725754021396e-10,1.1737096440995002e-12,5.053569021395434e-13,1.1504993588848415e-12,4.960718861522578e-13
