,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,0.001946495802485515,0.188,1.578685298144546e-10,2.0212165206337219e-10,1.1676689306352747e-23
RM,0.001946496049413327,0.188,1.7399092165968522e-10,1.9073027183816297e-10,1.2143883500935811e-23
RRM,0.001947114790937121,1.094,4.720258611062844e-10,4.820162408173516,4.846590675332877e-12
PBIM,0.001946495804645565,0.188,1.5423895233131442e-10,1.7123066437139606e-10,9.664667774311594e-24
RBIM,0.001946496029972766,0.187,1.4242066114941066e-10,1.6891844124840637e-10,8.756795175390473e-24
RRBIM,0.001947189898601237,0.8130000000000001,1.1385006820868564e-08,10.828383167567491,1.9516222633727375e-10
BF,0.001946493113582116,1.29200005531311,8.731695063882855e-07,11.647863227934018,2.557762564461959e-08
RERCM,-0.001329515720573049,0.078,0.001433971643673572,16.506289471729605,2.454585136604012e-06
RERRM,-2.768301415097957e-06,0.094,9.274382527829379e-06,4.328063665223073,1.0445274882778545e-11
RERCBIM,-0.0006627193512879076,0.062,0.001084913701543037,16.309888232523704,7.270554270421803e-07
RERRBIM,-0.0001183288702577279,0.063,0.0005504513790066676,10.856684578144584,4.454997370015599e-08
REBF,3.69810896767521,0.06699991226196289,1.9137883134447326e-06,18.832365621602538,8.930025792527655e-06
Meta-GA,0.0019466190351066504,6.1555561,2.211247337579464e-08,2.1952102944251736e-08,5.816499742403083e-18
Meta-GWO,0.0019470499805460551,20.0332337,2.1275889583970142e-08,2.1185783427185148e-08,1.7581681707413027e-17
Meta-PSO,0.0019471575505398166,6.2760515,2.2983325509255692e-08,2.2786126433922125e-08,6.399867203117772e-18
Meta-WOA,0.0019475791812946577,16.8926346,2.1281985620839883e-08,2.117198698607634e-08,1.4824029663211224e-17
