,dv,dph,dpg,dqg,dpl,dql
PM,0.0,0.0,0.0,0.0,0.0,0.0
RM,3.743378277004311e-16,1.0713561853057398e-16,8.072120665767763e-16,4.320561911784967e-16,3.1249798787815864e-14,1.0165436012231476e-13
RRM,7.2729865361742186e-09,4.497639907250292e-09,6.020659773385763e-10,3.7235388117324256e-10,6.093356105307064e-10,3.839463138017441e-10
PBIM,4.496599810039269e-17,6.6757119518978275e-18,7.784144508543535e-17,2.410021130443643e-17,2.0085749430494366e-15,8.358577562402188e-15
RBIM,3.878384356360832e-16,1.057918033843706e-16,8.101798828340034e-16,2.9356120519869154e-16,3.1255485903117256e-14,1.0306603085682485e-13
RRBIM,3.83867086032568e-07,1.7128916525831734e-07,2.218835994370175e-08,3.827001935475732e-09,2.222971683152667e-08,3.863598328267059e-09
BF,7.051923917812208e-09,0.002971225729670046,3.931592580094101e-13,1.5696860092929653e-12,1.5185378079803228e-11,6.292942565496265e-11
RERCM,0.0004216555212885356,0.0028649381058710355,2.0711089142120236,57381.313313349005,0.046042853544164965,0.7703035478421266
RERRM,0.0023255479698681184,0.0018295665810126832,0.14956211094541388,0.07556968546018178,0.13570434967868555,0.07556952057892784
RERCBIM,0.00015850211314813367,0.0002729202909423808,222.6329390042241,33146.4874792549,0.0005495038803196572,0.10985804532083694
RERRBIM,0.0011777693264453616,0.0019558177654232798,0.0035325536146592626,0.039202531972937514,0.003553103330559334,0.7948539681117779
REBF,3.0377393270469685e-09,0.002972031051347747,6.74512800694898e-13,1.7209974212195002e-12,2.2807465692185036e-13,1.73367766115043e-12
Meta-GA,5.962256053857609e-06,3.0095575351644664e-06,5.611026525298229e-07,1.0615984070670334e-07,5.361159226684086e-07,1.0635319471761647e-07
Meta-GWO,3.531591178196591e-05,1.820868726363217e-05,9.599077081625517e-06,3.762119940561055e-06,1.0205729262433152e-05,3.7632703970413366e-06
Meta-PSO,1.8333259425115415e-05,1.022700416293717e-05,5.119979237987341e-06,1.4169067966361582e-06,4.384141783021346e-06,1.4176109690401594e-06
Meta-WOA,3.3003171592090155e-05,1.7343171946205924e-05,7.204657832385451e-06,2.1181771872497047e-06,2.7234103237416094e-05,2.1190378073431826e-06
