,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,0.3683808606597267,52.609,5.992352383986377e-07,5.987148629824074e-07,6.953036174674351e-12
RM,0.3683808890712044,61.266,1.5682824504228094e-07,1.589229917761959e-07,5.625066137141284e-13
RRM,0.3684053976925004,3.469,1.2960508905097442e-09,6.386561758497418e-09,1.0578387103675534e-17
PBIM,0.3683808694825066,50.422,4.2515851458110615e-07,4.254814807812925e-07,3.3600727438966945e-12
RBIM,0.3683808891233857,41.39100000000001,1.6205445903505872e-07,1.589714466084581e-07,3.9281053102278557e-13
RRBIM,0.3685298182373913,94.93700000000001,1.3163793829174275e-08,4.031391265648588e-05,1.856710353708348e-11
BF,0.3683814876838554,1.953000068664551,1.205118629732339e-05,32.97878854865128,0.00028593317999796314
RERCM,1.807515640383997,0.468,244.94556533279749,240.26086700846727,49782.939672020715
RERRM,-0.01835174844560061,1.047,0.4073564426893167,2.1504212256369546,0.01683147811570908
RERCBIM,-14.55250848965127,0.547,199.71992341262234,173.5902306954404,275976.34513394244
RERRBIM,0.4278161499638031,0.281,0.695660809735445,0.8507302455368138,0.07114639614835688
REBF,0.3683816819470094,0.2660000324249268,7.953101320294816e-07,32.95301680500522,2.5680969267754706e-06
Meta-GA,0.36912992851548465,8.3277211,3.118236433859358e-08,2.890859239223718e-08,2.7710312136106643e-15
Meta-GWO,0.37147909839780063,19.2896029,2.9619866136632728e-08,3.1475105863399185e-08,6.6804845049873995e-15
Meta-PSO,0.370643597771719,8.2323454,3.855735842975619e-08,3.4051354147763116e-08,4.006099637561135e-15
Meta-WOA,0.37106501002822045,19.5674304,3.104110181785871e-08,2.9017480757391724e-08,6.540043473478159e-15
