,dv,dph,dpg,dqg,dpl,dql
PM,6.295468399132895e-10,4.835997945441781e-10,7.623941636674745e-10,1.434832666487861e-12,2.8271928567076764e-10,1.1825021845049183e-10
RM,6.296116594249342e-10,4.836450813017287e-10,7.623931132552029e-10,1.4347481344875807e-12,2.8271867633152036e-10,1.1824945540650828e-10
RRM,6.29673252845953e-10,4.836886336518962e-10,7.624156271548046e-10,1.4353889784335288e-12,2.827323627432938e-10,1.1825526197777105e-10
PBIM,6.295468394454862e-10,4.83599794274065e-10,7.623941538433431e-10,1.4348337910304737e-12,2.827192931826006e-10,1.1825021506042465e-10
RBIM,6.295525726467356e-10,4.836036211540919e-10,7.624051990963195e-10,1.4351685379877306e-12,2.827259966596576e-10,1.182532490547835e-10
RRBIM,6.296475742198524e-10,4.836704182455524e-10,7.624154003620245e-10,1.4354039951411163e-12,2.8273224158046413e-10,1.1825539910943693e-10
BF,6.740608136614379e-06,0.0038823462938658536,2.6397162623600922e-09,2.794312481334169e-09,1.6468128511646551e-09,3.910964343523449e-09
RERCM,1.0566520000662478e-10,7.783363177741054e-11,5.465952932070412e-11,1.7246515843873172e-10,1.0302877795843113e-11,3.807914962190585e-12
RERRM,0.0019575361831155446,0.0023616787995537087,0.0009983320890948246,0.0038403620888529996,0.014225523897587699,0.003839162871075224
RERCBIM,4.394393762264831e-11,3.592420978255415e-11,3.447300655432998e-10,1.7914140842951526e-11,7.082733977134333e-11,2.9757648344973964e-11
RERRBIM,0.0,0.0,0.0,0.0,0.0,0.0
REBF,6.741368110595322e-06,0.0038823439334484773,2.647005730184403e-09,2.8007578910181697e-09,1.6525317982788113e-09,3.918546954673036e-09
Meta-GA,1.151691375409323e-06,1.5853849783897106e-06,4.6315494435859464e-09,7.724939377945026e-10,3.2546193402435596e-09,1.4037560160443094e-09
Meta-GWO,3.6312174349403344e-08,5.6150758821411266e-08,9.653937872567424e-10,3.307124646812747e-11,8.602219823751607e-10,2.3789211753907143e-10
Meta-PSO,2.1891877787561354e-06,1.1097457714501684e-06,2.1112471807775522e-09,2.060248355376093e-09,1.2353598505634751e-09,3.0319279709574162e-09
Meta-WOA,1.1317621307354677e-06,1.2624781171001812e-06,6.451595849988468e-09,3.5366862658531536e-09,4.833001047931346e-09,4.7807598440081885e-09
