,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,0.1232319842544314,0.36,9.463599914735213e-08,9.464996200692771e-08,3.973770284874232e-16
RM,0.1232355000957739,0.359,8.248896003411246e-08,8.23878257724615e-08,3.0066934441223377e-16
RRM,0.1232536447325856,9.703,1.3849550233617126e-10,4.090427755299567e-08,6.77501402349494e-18
PBIM,0.123231984268898,0.375,9.461343408116284e-08,9.463411268655757e-08,4.13766408352949e-16
RBIM,0.123232283542279,0.375,3.237518769862055e-08,3.23476230522547e-08,4.83961074758357e-17
RRBIM,0.1232594710233308,8.735,1.2198947542322386e-10,6.215735771534913e-08,8.163908286103652e-18
BF,0.1232318370348174,0.6369998455047607,2.3117258703798742e-06,14.948099391434969,2.7125925188879195e-06
RERCM,0.07542343092253241,0.454,1.8922937254896959,2.0268053202011735,0.1313296303454428
RERRM,-2.167658894194634,1.031,2.3906563103504235,48.75013758760926,260.46093659102706
RERCBIM,0.1082782551707548,0.344,0.018152874799549246,0.049295311824042023,3.3331182524862564e-05
RERRBIM,0.1115591316821421,0.656,0.05823336998378889,0.10264964596286093,0.0004374599954400273
REBF,0.1232321457912569,0.1019999980926514,8.427973719442186e-09,14.947957648805298,1.5835406115900991e-09
Meta-GA,0.12331176270963276,7.8107458,5.0010440575415955e-08,4.999112492399811e-08,2.4079673835130327e-15
Meta-GWO,0.12439757531086033,18.7895932,5.0608016832819156e-08,5.0568811878483026e-08,5.981792749119078e-15
Meta-PSO,0.12362854543573151,7.7304498,2.9714681404465967e-10,2.0881515771533222e-10,5.930026341963771e-20
Meta-WOA,0.12576633487493644,18.3310107,3.0111689243396064e-10,1.938482509601182e-10,1.345698667252153e-19
