,dv,dph,dpg,dqg,dpl,dql
PM,0.0,0.0,0.0,0.0,0.0,0.0
RM,4.231156777698911e-18,1.8302648524572718e-18,1.1106566918037316e-20,6.11782791220525e-21,1.0129090444424409e-20,4.717423629575725e-21
RRM,4.387855407553353e-12,2.46634759847787e-06,1.1735123939083121e-14,5.051497065872605e-15,1.1737344933594829e-14,5.055366706472252e-15
PBIM,9.151795996003387e-26,7.533929213964881e-26,5.919058421042386e-22,9.80980729955858e-22,7.935688973119914e-22,3.035500093892461e-23
RBIM,4.232400766684789e-18,1.8302755253621476e-18,1.8271917544021888e-20,5.113532227866462e-21,2.1752258090703775e-20,9.656731695838511e-21
RRBIM,2.992795005104102e-14,2.2005840406228757e-06,3.0548798019236425e-16,1.3073628318784952e-16,3.050308476661205e-16,1.3157629247051182e-16
BF,1.9543277790542572e-13,4.48949644847756e-06,1.1619762176634776e-18,5.453134431738832e-19,1.1902210711081367e-18,5.290420798252282e-19
RERCM,6.56692787505234e-07,1.5948737881270566e-06,2.13757909745713e-06,9.204534491888077e-07,2.7563234506672154e-06,1.3337070597169921e-06
RERRM,2.9329618451911586e-09,2.4172766581757106e-06,5.035357469514579e-06,2.1682479385640827e-06,5.0633910837294695e-06,2.168247877628396e-06
RERCBIM,6.475836744085392e-07,1.6104719477708492e-06,3.771944012015203e-06,1.6242201214335315e-06,4.283725892103861e-06,1.7022438560129654e-06
RERRBIM,1.0011050107098365e-09,2.189039782802221e-06,4.468759268427153e-06,1.9242726304269317e-06,4.125840911192552e-06,1.8856397705753199e-06
REBF,0.004601268449121061,4.919704968824812e-06,15.066244487860127,6.4876085591062225,15.066244596484733,6.487601759139117
Meta-GA,3.076938229042513e-11,1.3318144623056743e-11,9.043141132873338e-16,3.881763564056163e-16,2.5425569265748223e-16,1.218325596579842e-16
Meta-GWO,4.203394330189958e-10,1.818994836396217e-10,1.0102081954394776e-12,4.3496024094331987e-13,9.819787068259785e-13,4.23560023403776e-13
Meta-PSO,1.1059973871549552e-09,4.787075168132374e-10,1.0363477023955855e-12,4.4621553084016446e-13,1.007783119639594e-12,4.346848397466724e-13
Meta-WOA,5.452952479929914e-10,2.359854864716989e-10,1.0824449703148813e-12,4.660643569433969e-13,1.053205567613356e-12,4.5427379805432935e-13
