,dv,dph,dpg,dqg,dpl,dql
PM,2.3656485398926747e-09,1.2029613183000432e-09,4.4541365881997934e-13,1.5829546355583986e-11,8.301547918604215e-13,1.7772783265589472e-11
RM,1.07240190578076e-15,9.22438335999678e-17,9.918781509004336e-16,3.456604967078644e-16,5.853570003279484e-14,6.445746250607997e-14
RRM,2.6750563965336142e-08,1.3224138464903315e-08,3.4982379382571733e-10,6.21881463984202e-11,3.5713084658848805e-10,6.601563143568307e-11
PBIM,2.457384268152868e-09,1.2462808611768256e-09,1.89779342142007e-13,1.449693640294753e-11,8.701088887887026e-13,1.64791907661365e-11
RBIM,0.0,0.0,0.0,0.0,0.0,0.0
RRBIM,1.13671197426993e-06,5.817323345005392e-07,7.510185551095216e-08,3.036148583338301e-08,7.5208409229129e-08,3.0443724478406686e-08
BF,3.62530316707563e-11,0.0016515597105298263,6.800226639680849e-15,1.9192369619664422e-15,3.475958353917356e-12,1.0351496628190855e-11
RERCM,0.00014528701043992688,0.000567034878951034,82.52436771599324,677994.9761530746,0.003584879439804642,0.1784646016288525
RERRM,0.0002623126659976769,1.540646062515071e-06,0.05084610142706298,0.02822788831615823,0.0508714412746475,0.02822780755487945
RERCBIM,8.625888382437926e-05,0.0012070840369657083,2399.667077755089,291743.39854588313,0.038814393512761745,0.2893398669185258
RERRBIM,0.0008028177264528087,0.00026592085521734746,0.0009458215079201079,0.006207734581406987,0.30267819966601106,0.004772999115053902
REBF,1.2571879440276228e-13,0.001651584657103786,6.406310080157427e-16,4.52158163657011e-16,4.9666356625843725e-14,6.857526305233258e-14
Meta-GA,2.7177058376491298e-06,1.3333060615029214e-06,1.1290980422786452e-07,1.6006255876070365e-08,1.0482496689826224e-07,1.606660222753501e-08
Meta-GWO,2.1526347057297343e-05,1.118032835077522e-05,3.4293836245861955e-06,1.5909340102536622e-06,1.2580797805152365e-05,1.591536760208039e-06
Meta-PSO,6.071890482036364e-06,3.064979846755207e-06,3.021939767413989e-06,9.90539135094765e-07,1.697220651414643e-06,9.910118183385479e-07
Meta-WOA,2.643762647203816e-05,1.399727562163559e-05,4.322410361314725e-06,1.4245993674234665e-06,2.098426170223486e-06,1.4251658875140458e-06
