,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,0.2255478365619865,1.891,5.578210063437402e-08,5.941956402603741e-08,1.4136910886439245e-15
RM,0.225547200662902,1.875,2.2634051804129632e-08,2.3332306973532022e-08,2.2333598302530635e-16
RRM,0.2255658727458378,94.047,2.185679543386873e-09,5.944150240212913e-07,2.7560976775563603e-14
PBIM,0.2255476048055138,1.969,3.1963696017209296e-07,3.1416145684063085e-07,4.459578670010779e-14
RBIM,0.2255471691688049,1.781,5.296740850750453e-07,5.260435943820918e-07,1.1192620064075454e-13
RRBIM,0.2258212163463327,82.547,2.786286858376368e-09,7.101372656544583e-07,3.68836733235507e-14
BF,0.2255472516322916,1.550999879837036,5.7662563601166596e-06,26.049233698606805,5.2545823444645924e-05
RERCM,-8.858745192704696,0.313,837.4005977872858,817.9406874474365,1899204.0441393782
RERRM,5.636796604413519e-05,0.797,0.011380289684817982,0.6982884555325353,3.5700875364028636e-07
RERCBIM,-48.76084969521681,0.391,599.279986978772,510.191087996841,5829222.936165758
RERRBIM,0.2563013803913368,1.812,0.6774107438754837,0.6866582130030434,0.2160239176577378
REBF,0.2255471944794945,0.128000020980835,2.7057757152324964e-08,25.949586990713513,2.027074521135899e-08
Meta-GA,0.22588318971018276,8.3285388,1.1669340437947223e-08,6.51613845430302e-09,1.4305048636283799e-16
Meta-GWO,0.2273990286733533,19.0629073,1.0611118488219884e-08,5.65667321754105e-09,2.601956285547125e-16
Meta-PSO,0.2272855419042716,8.3467878,8.089337560045207e-09,7.816838996897624e-09,1.199596826619547e-16
Meta-WOA,0.22762620989984284,19.252811,8.40452893911825e-09,1.2461929342352344e-08,4.590025266138949e-16
