,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,0.07575091287917957,1.703,3.3985902217481545e-09,3.3990821502946633e-09,1.4902632207549968e-18
RM,0.07575091288143909,1.593,3.5178757502515867e-09,3.517882770677494e-09,1.4933634096479377e-18
RRM,0.07574933321719612,1.922,3.050272057505965e-10,3.063326805760602e-10,1.3603921124248397e-20
PBIM,0.0757509128784831,1.719,3.3998453141323437e-09,3.398705603410712e-09,1.5046533387034906e-18
RBIM,0.07575091288140365,1.625,3.5180153660011038e-09,3.5175189783479e-09,1.5232648391751537e-18
RRBIM,0.07574933321632911,1.593,2.7336142637696126e-10,2.7326373108760293e-10,9.013922418266944e-21
BF,0.0757582131630261,0.4800000190734863,4.5694351080705076e-14,8.307989623599967,1.3804778320665036e-14
RERCM,0.07571450310585348,0.219,6.374406132655681e-05,2.3015132789144625e-05,2.432631950757437e-11
RERRM,0.08091661516202064,0.172,0.08087821996337313,31.547284715761883,0.03551074012057642
RERCBIM,0.07571084297111277,0.172,5.849495182643719e-05,2.6756126063926834e-05,2.0381124866957147e-11
RERRBIM,0.07574115633875772,0.219,2.229354282074717e-05,1.3494298662564477e-05,4.9900564049707e-12
REBF,0.07575824910249153,0.1059999465942383,1.4790468118482114e-08,8.307959006782767,9.86760689829132e-10
Meta-GA,0.07575530662916694,6.6023914,7.823157525434221e-09,7.822168888310665e-09,3.0607199236222386e-17
Meta-GWO,0.07577122967719938,17.7291398,7.619440140459177e-09,7.61910008174882e-09,7.798637609713546e-17
Meta-PSO,0.07577268433350037,6.5556749,6.922594671977811e-09,6.923317563342635e-09,2.3807469561956847e-17
Meta-WOA,0.07583677977692743,17.1996133,7.666248532690878e-09,7.665925552333142e-09,7.665598315443425e-17
