,dv,dph,dpg,dqg,dpl,dql
PM,0.0,0.0,0.0,0.0,0.0,0.0
RM,2.069226339144083e-09,5.92980242817209e-10,7.327497455487928e-13,1.8325157075989344e-13,7.327622652624338e-13,1.8319547385845332e-13
RRM,5.135739501863632e-08,1.4797318639133128e-08,3.676151870626318e-11,8.660801453115078e-12,3.676203392588261e-11,8.660841333848512e-12
PBIM,2.069199702635894e-09,5.929748776573948e-10,7.331576340085019e-13,1.8328663419285055e-13,7.332721115139909e-13,1.8327879369972332e-13
RBIM,2.5436484928099516e-10,7.282344888556302e-11,1.294907162831827e-14,3.1862064506440608e-15,1.295528124365023e-14,3.1762036461117448e-15
RRBIM,9.936755913698734e-10,2.542528280945932e-10,2.7560538626362043e-11,4.518666781232586e-12,2.75609247246611e-11,4.518713760470865e-12
BF,1.2738519170521925e-10,0.011211337956124426,3.4388209205889585e-14,6.857201885052361e-15,3.793579978571746e-14,2.4997226413249927e-12
RERCM,1.912380961661674e-06,4.74461180794535e-08,0.0017484939318302421,0.0021067614221998085,0.002152539023641246,0.007052600881073477
RERRM,6.499983457900049e-07,3.3789004621375424e-05,0.005180510978215906,0.0012839272789030695,0.006111386748867273,0.0012839272819593578
RERCBIM,5.5099069332147574e-08,1.4706247166023262e-08,1.1366214901745377e-05,1.7111538180283232e-05,6.715793376395365e-07,1.398583901794293e-07
RERRBIM,1.7838688281448734e-07,1.0209154010797043e-08,0.0002725064548629175,0.0005539454736061326,0.0001303928137699163,3.445480160661075e-05
REBF,3.9105151570628205e-10,0.011210763643644388,1.4725963468738624e-14,4.583245572039643e-15,1.4983668714400967e-14,4.4924455158443934e-15
Meta-GA,2.8871119813087843e-08,8.338245945075086e-09,1.7884002885740997e-10,4.4767531577615615e-11,1.7870579844765046e-10,4.4757323418344186e-11
Meta-GWO,2.1195173080230232e-05,3.261602889545097e-06,2.626152961992946e-06,4.7396226076066596e-07,2.6261466249460484e-06,4.7396111480926423e-07
Meta-PSO,1.2884898179315512e-06,1.722788917859082e-07,6.634932655195779e-07,1.0678537983893871e-07,6.640275494927737e-07,1.0678487333529283e-07
Meta-WOA,9.422759577197863e-06,1.869003619969494e-06,1.5811110531040215e-06,2.791845176922209e-07,2.327662332713129e-06,2.7918367847507695e-07
