,dv,dph,dpg,dqg,dpl,dql
PM,6.72172834313801e-25,4.93938002352263e-26,7.444095407885997e-24,6.42734019811796e-22,1.2348899667468795e-21,1.6634015396363855e-21
RM,8.335854766323209e-13,3.6049552532959843e-13,5.693062166875392e-16,2.461432829651182e-16,5.672507706523957e-16,2.44836870200895e-16
RRM,5.774339825496334e-13,1.7721767996596264e-06,1.7648187117995316e-16,7.56978950300844e-17,1.775490564428634e-16,7.594236917747632e-17
PBIM,0.0,0.0,0.0,0.0,0.0,0.0
RBIM,8.335861632432283e-13,3.604957786172138e-13,5.70380911177218e-16,2.4543212768131784e-16,5.688607984140502e-16,2.4429573787975323e-16
RRBIM,5.012286150085844e-07,0.000318555668411833,0.0002784126051262667,0.00011988601408152545,0.00027841260303034,0.000119886012600234
BF,1.1121949533069782e-12,3.206224203583908e-06,3.121704048077634e-18,1.3451741723363313e-18,2.947941793212348e-18,2.042719898257644e-12
RERCM,3.29264603725134e-07,1.1044127714690867e-06,4.846208819309372e-07,2.086804239781808e-07,7.272665161326183e-07,2.751904048219329e-07
RERRM,9.928283343867553e-10,1.7466450577755275e-06,2.029815909997475e-06,8.74048906299549e-07,2.037917116522766e-06,8.740488603369042e-07
RERCBIM,2.8992942442494656e-07,1.2333976686697626e-06,5.745287074731939e-07,2.473952529642405e-07,8.615930189657443e-10,9.18515573514279e-09
RERRBIM,3.454675697100435e-09,1.5293408734890405e-06,4.178479336493736e-06,1.7992764345023853e-06,3.6768183133135868e-06,1.623410336774425e-06
REBF,0.002998007364445101,3.543178981037649e-06,9.81930431927935,4.228246979470294,9.819308006250262,4.228240376804541
Meta-GA,1.0547952416772435e-10,4.560493171806777e-11,5.729577811072772e-14,2.4671751384101838e-14,5.399692412414606e-14,2.3576604498026486e-14
Meta-GWO,3.4066788870487724e-11,1.4718371962538492e-11,1.6240722540631153e-13,6.993323651379629e-14,1.5785545048471097e-13,6.8086953506635e-14
Meta-PSO,1.709544894214955e-11,7.379015494827769e-12,1.5571917415751647e-13,6.705332890332098e-14,1.5123114151038315e-13,6.524529552029077e-14
Meta-WOA,1.6733137597382214e-10,7.234027631976822e-11,2.235510864428975e-13,9.626208514415413e-14,2.1818443229089262e-13,9.408436591282966e-14
