,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,0.001424189448471225,0.203,6.828531935211546e-09,6.843795423330157e-09,1.3511020894129159e-20
RM,0.001424213305881494,0.219,3.073417630229329e-10,3.0867210065696776e-10,2.9589532902303274e-23
RRM,0.001424202730390789,0.5309999999999999,4.040341641114997e-09,3.719553626609538,1.1365152018437062e-11
PBIM,0.001424189445742838,0.203,6.789783056106169e-09,6.827254099253005e-09,1.340188126479968e-20
RBIM,0.001424213328391585,0.219,3.460493889333933e-10,3.4265512982031213e-10,3.698405150370484e-23
RRBIM,-0.01526151117263896,0.844,3.694706242340917e-10,386.74919891144725,1.8405572166332677e-09
BF,0.001424187678908367,1.354000091552734,1.4280907856354524e-06,9.678132852127755,2.665221538836414e-08
RERCM,0.0007280422760072014,0.079,0.0007571349941758965,14.727584570923657,6.413403059814018e-07
RERRM,-5.266347438935559e-07,0.109,2.840662087276978e-06,3.584487194615768,5.844974405899422e-13
RERCBIM,0.000666212726131217,0.062,0.004202334119077381,12.72138703802904,2.2081555286248375e-06
RERRBIM,-0.0006199434600374434,16.172,0.0004234098110254096,9.07460721880398,3.852162231361381e-05
REBF,3.135001110358863,0.0559999942779541,2.318100273895375e-06,15.611103117606913,6.353184860594566e-06
Meta-GA,0.0014244288111081495,6.099714,1.2301180009506585e-08,1.2177920846109611e-08,1.301577829924164e-18
Meta-GWO,0.0014245924435411028,16.8276828,1.1639053619331985e-08,1.1467392929445241e-08,3.1996119944046726e-18
Meta-PSO,0.0014245840584316324,6.1556107,1.17217536566884e-08,1.158795813180993e-08,1.1911288219535982e-18
Meta-WOA,0.0014246622576361348,16.8841721,1.145014676389583e-08,1.1316426669999925e-08,3.1168223987126256e-18
