,dv,dph,dpg,dqg,dpl,dql
PM,3.6017421106869563e-11,2.5733607536751686e-12,5.477277727765209e-12,2.7980655658728797e-12,1.6294020665990493e-10,2.3163695807803635e-10
RM,3.607903010942808e-11,2.5352272789756808e-12,5.427595099928866e-12,2.7568429576394608e-12,1.6139002890692903e-10,2.304186805615485e-10
RRM,3.093124313426186e-08,1.6205910979428287e-08,5.054860943160403e-10,3.2768729265950174e-10,7.765402942684258e-10,6.381897579831614e-10
PBIM,0.0,0.0,0.0,0.0,0.0,0.0
RBIM,1.0485630026516737e-10,4.0919415193045e-11,5.5560655306805845e-12,2.7562925237426625e-12,1.6209117539651173e-10,2.294501148246843e-10
RRBIM,1.6728068396418356e-08,9.418369738317123e-09,2.3223414861583765e-10,8.897111805664198e-11,4.749029515072378e-10,3.4258569824414664e-10
BF,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
RERCM,9.945041454440105,0.04324861990129554,4.49498581070231,5911.3637226785995,2138.417729498287,970.6083608481274
RERRM,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
RERCBIM,0.020834028650488345,0.054852398258585226,256.7631214100305,13993.977858143266,0.03149330783413848,18.710813534576488
RERRBIM,10.15349026387362,0.07903538792670445,1.6401960791729786,23390.76051056749,2138.7132657119146,970.6979144567356
REBF,1.2959597405540788e-06,0.1632554850792642,3.1032727354348504e-08,1.0241568296685919e-08,3.2152043961061415e-08,1.119477655086984e-08
Meta-GA,0.00019351531526071253,0.00010399492052971092,0.00017120479783063088,5.913482565043531e-05,0.00017123268181107334,5.922007382629117e-05
Meta-GWO,0.001861526792611612,0.0010444251523263298,0.00019405618436659782,4.338365615316374e-05,0.00019410917450821358,4.346875691441498e-05
Meta-PSO,0.004911966085247283,0.0028196188480381318,0.0005291843043123243,0.00012799515630919088,0.0005292671413624377,0.0001281405415863895
Meta-WOA,0.0015333480075601642,0.0008326001913694955,0.00034920392146351543,7.861513015417466e-05,0.0003492666094025497,7.872805769562745e-05
