,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,8.735465944893178,1112.125,2.8682590135438536e-06,2.8593431088259198e-06,7.967541193433156e-08
RM,8.735465915953682,824.437,3.4170136962397342e-06,3.4035229498472445e-06,8.375658291434522e-08
RRM,8.735484518875829,4600.406,3.11418131118906e-08,3.085454431417023e-05,3.8614124317220295e-08
PBIM,8.735460151935856,2090.906,9.320028501184323e-05,9.320590807221211e-05,0.00015866494234867762
RBIM,8.735465144734512,1124.203,3.2654906048309966e-06,3.2561624141468603e-06,1.0442038078548493e-07
RRBIM,8.735505025794186,9336.125000000002,4.383890554625682e-08,1.2147575449074952e-06,4.343141552034453e-09
BF,-10.0,-10.0,-10.0,-10.0,-10.0
RERCM,0.2917758920655611,136.407,422.76814736983715,360.696995822623,6069191.586503236
RERRM,-10.0,-10.0,-10.0,-10.0,-10.0
RERCBIM,-38.01442157559522,5.797,493.2076026243849,20.200104980810305,2195508.2633853215
RERRBIM,4.156730538354283,23.0,766.6406864089856,361.0419487069058,26462400.418142956
REBF,8.735738402771442,15.24000000953674,1.85761739725049e-06,6.922129731780358e-06,1.7119086712584798e-09
Meta-GA,8.774190471851504,121.2984619,1.7953146275297783e-07,7.812677906019612e-08,1.492804175579323e-11
Meta-GWO,8.781378303441905,142.362033,1.7048339168109442e-07,8.068329580603959e-08,1.7195807529981455e-11
Meta-PSO,8.810776884333912,127.7934744,1.8408967663010473e-07,7.623477500720933e-08,1.5801759193433767e-11
Meta-WOA,8.796041641176075,141.4598804,1.805872535972247e-07,8.529860511231966e-08,1.9166798876185526e-11
