,dv,dph,dpg,dqg,dpl,dql
PM,0.0,0.0,0.0,0.0,0.0,0.0
RM,9.373394164278168e-13,2.7282634004577724e-13,3.819492893009982e-16,6.759608746990884e-17,3.726153769722311e-16,6.436785528684192e-17
RRM,5.454655512276958e-09,1.5700913487796781e-09,4.656596144805612e-12,1.1529346698604226e-12,4.656514996348356e-12,1.1529273172221444e-12
PBIM,5.823288729090865e-14,1.6863642657720884e-14,1.0793928020843027e-18,1.968000541725294e-19,9.195547650763886e-19,1.4007219926571261e-19
RBIM,9.31488309146347e-13,2.711266217356648e-13,3.818921315314481e-16,6.612196970539857e-17,3.707369097718873e-16,6.379796174441636e-17
RRBIM,4.980758058340843e-13,1.368251350975028e-13,3.32158619486786e-15,6.095492089097724e-16,3.3198855288556e-15,6.097061119043555e-16
BF,1.8553591607522137e-06,0.42237129827808606,8.156605057483009e-09,2.0293702405849158e-09,8.130208182818604e-09,1.854392834073893e-09
RERCM,0.0001240844666483256,0.4262146606018484,0.012958834677995799,0.03382721539453374,0.17775748995078178,0.24289320933039715
RERRM,0.05981158694098856,0.008162232521223264,0.2878328567420959,0.09908217006617705,4.0618098365968,0.6823789049177866
RERCBIM,5.319135598644626e-09,8.467806413759751e-10,12.564891597254704,20.17150758992379,1.0805796953990491e-05,9.699139223257942e-05
RERRBIM,4.955127804813339e-06,2.480940657753437e-08,0.007108825393571298,0.016837558152751748,0.06514875176198062,0.22014343310038745
REBF,1.8559005618323394e-06,0.42237152044732307,8.185378148971471e-09,2.0363415840335387e-09,8.185305092112126e-09,2.036326456654236e-09
Meta-GA,8.159231683716084e-05,2.6096245562639855e-05,2.3119524481748803e-05,5.478551402924881e-06,2.3119364878029358e-05,5.478519505638425e-06
Meta-GWO,0.0005906881823205796,6.480365523576846e-05,0.0001088290316207847,1.9087595833647018e-05,0.00010882860392609568,1.9087522556778978e-05
Meta-PSO,0.00018143562506549104,3.277329976841297e-05,7.855752997593644e-05,1.3918943960142533e-05,7.85572041414463e-05,1.3918887708612449e-05
Meta-WOA,0.0012120196258366483,0.00013453699237483152,0.00044528921195905537,7.975908557219884e-05,0.00044528820765498865,7.975891175010673e-05
