,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,3.1707426454850633,6.578,1.470145593133243e-06,1.469934027267804e-06,4.5072645855556036e-11
RM,3.1707427070052603,6.219,6.420670267754476e-07,6.415912401720245e-07,8.12307292573234e-12
RRM,3.1707494158673626,99.92200000000001,7.37093031285901e-08,7.349386581620345e-08,1.716312781029935e-12
PBIM,3.1707426488117108,6.125,1.3860179832655582e-06,1.3862642297417968e-06,3.731487314942706e-11
RBIM,3.1707427070560317,6.282,6.416747050568745e-07,6.415506451897385e-07,8.199829082016266e-12
RRBIM,3.170742825441307,5.547,3.338263366883024e-08,3.270897235943307e-08,1.920466256338627e-14
BF,3.170886041245606,84.02500009536743,4.0648366761145117e-05,4.018765689310297e-05,4.3523613200506263e-07
RERCM,2.6436301835259473,15.641,2.9533020117232804,4.357305460507414,532.0973369904353
RERRM,1.3087443380352628,28.906,11.470164344998567,9.649345123431926,4187.07070411958
RERCBIM,-3.740627414696892,11.594,32.49209019602322,0.040534839544550054,57.11942893544381
RERRBIM,2.7990712790398944,8.547,2.494717548634723,3.4465909853673633,205.70213143563424
REBF,3.170888096638281,1.941999912261963,7.889472534083367e-09,1.0403838526917147e-06,5.054424262676797e-14
Meta-GA,3.1834617309929385,95.2646044,1.0219071867881226e-07,1.0299454456684495e-07,3.1919558578706285e-12
Meta-GWO,3.2037049228107186,112.854,1.0976309251077393e-07,1.1094376051391014e-07,4.4027972082574e-12
Meta-PSO,3.198854825527526,98.8207646,1.013683923877746e-07,1.0207378266232936e-07,3.270841571426879e-12
Meta-WOA,3.237391252440972,110.9727431,1.2420471382980182e-07,1.25124119656957e-07,5.583295627185764e-12
