,dv,dph,dpg,dqg,dpl,dql
PM,3.3972680106309606e-23,1.540327285596708e-23,2.08536238787969e-20,6.84244114891254e-21,1.678358530505724e-20,3.8449771376950035e-21
RM,0.0,0.0,0.0,0.0,0.0,0.0
RRM,2.5029426112270255e-08,8.678406108566913e-05,4.629534221635083e-11,1.993466245091051e-11,4.629469431573381e-11,1.9934750697618297e-11
PBIM,1.0416042762096869e-23,3.609411824887797e-24,2.1850148645220037e-20,1.2694554527168735e-20,1.8203743846778364e-20,1.412908049351661e-20
RBIM,9.029162058586396e-24,3.752323019139467e-24,2.1727046094992645e-20,1.4573009701322637e-20,6.6989400141083424e-21,1.486701196179194e-20
RRBIM,6.272059935822438e-16,7.123752007993788e-05,1.6995920793293963e-19,5.2769956709728925e-20,1.1955150838845596e-19,6.164367026180368e-20
BF,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
RERCM,0.004837541798286083,0.00024180546865570744,11.431484065058573,4.922460532519821,21.660522603698787,5.461959284828407
RERRM,1.3617721728183664e-07,8.656721012881971e-05,0.00016381237271037664,7.094845935385462e-05,0.00016381246414990243,7.094845993317585e-05
RERCBIM,5.868547340329336e-06,6.836104134887303e-05,1.0898134395384993,0.469279720350959,3.9518924595707814e-07,1.62906519290746e-07
RERRBIM,0.0018115507176179315,7.954270438636367e-05,11.128716357073735,4.792087076257323,7.603919628625433,5.448699343500213
REBF,0.12143963415142381,0.00017493443468256307,398.29331025450574,171.5073116431432,398.29350153195594,171.5071694900969
Meta-GA,8.638416429156079e-10,3.7347650097364194e-10,2.7265959652186052e-12,1.1738781386970527e-12,2.624563117966496e-12,1.131621097193756e-12
Meta-GWO,2.5877892229336255e-08,1.1194561671762844e-08,7.263789776872644e-11,3.1277207971398077e-11,7.213749998395568e-11,3.107029516597464e-11
Meta-PSO,7.685066469633165e-10,3.3225678649589684e-10,1.1228785727772565e-11,4.834752443327824e-12,1.1034063032083503e-11,4.754005925072466e-12
Meta-WOA,2.4778185441776917e-08,1.0715659183441674e-08,7.173053860417852e-11,3.088648607330814e-11,7.118696042518105e-11,3.0662547824496784e-11
