,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,0.05213945051218616,35.21899999999999,3.422805111012901e-07,3.424900139817297e-07,2.1526506543949064e-13
RM,0.05213945028492617,32.859,3.504797990569117e-07,3.504179376040731e-07,2.1041180930201627e-13
RRM,0.052160521125301784,50.14,4.232856532166221e-08,0.0134202735251382,1.4856659422949026e-09
PBIM,0.05213945058392237,31.828,3.5390781876788735e-07,3.543621697865499e-07,2.08119756740475e-13
RBIM,0.052139450504909576,33.375,3.543537870570948e-07,3.545844130337152e-07,2.1864746350849958e-13
RRBIM,0.05213945070261142,6.343,7.300130893447138e-09,0.03805114166940811,9.186699311663848e-11
BF,-10.0,-10.0,-10.0,-10.0,-10.0
RERCM,-16.45243042111028,3.172,10.17648692888121,32.397818370427366,17205.879890617656
RERRM,-0.0004719674639802364,1.344,5.779326926404785e-10,0.10033120199412898,3.678109099812639e-14
RERCBIM,-4.033044412542854,1.094,7.189311548368754,0.04033740501217439,1.2795156035233615
RERRBIM,-16.089882865378172,3.453,8.4174561491919,23.064639778590134,10786.411874584963
REBF,91.55763602654852,4.275000095367432,7.592184154943935e-05,148.83952484562414,4.422987462123908
Meta-GA,0.05214490953852646,66.5865039,4.7522795906197656e-07,4.7210352474778374e-07,7.78999820949631e-13
Meta-GWO,0.05216515343290773,81.9630205,4.755628235791898e-07,4.726113324576504e-07,9.609714203748326e-13
Meta-PSO,0.05214973033449066,69.3307113,4.750722081397614e-07,4.721835308352726e-07,8.110510354559347e-13
Meta-WOA,0.05216680925953643,82.1207888,4.7556896267621267e-07,4.725444826855825e-07,9.627279636334183e-13
