,dv,dph,dpg,dqg,dpl,dql
PM,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
RM,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
RRM,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
PBIM,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
RBIM,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
RRBIM,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
BF,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
RERCM,9.60164254223608,0.39535054163227784,40.73630119318111,6206.08337356468,2722.3428378214203,1184.7931018674656
RERRM,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
RERCBIM,0.04071976625463512,0.45015458049269425,424.8906187962609,6471.801600138752,14.972068342850847,13.56928282900799
RERRBIM,12.995774765256376,0.07418128791622773,1067.738031675172,2934856.8642995595,2723.189330108414,1184.9886341156302
REBF,0.0,0.0,0.0,0.0,0.0,0.0
Meta-GA,0.0015043497979204533,0.3067398421326759,9.086444414389391e-05,5.304760918141561e-05,9.086477994865465e-05,5.3047783441263316e-05
Meta-GWO,0.0009493027368141867,0.2956579019946584,2.9646281696312016e-05,8.618380876588258e-06,2.9646483059464933e-05,8.618446755500376e-06
Meta-PSO,0.0005260268335540757,0.30298106975403294,2.3088018607383873e-05,1.3505147247180893e-05,2.3088196848229564e-05,1.3505233485962932e-05
Meta-WOA,0.00042843115251567463,0.29523325640250064,3.76097724305095e-05,1.156906855655753e-05,3.761006895244586e-05,1.1569172193899595e-05
