,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,-10.0,-10.0,-10.0,-10.0,-10.0
RM,-10.0,-10.0,-10.0,-10.0,-10.0
RRM,-10.0,-10.0,-10.0,-10.0,-10.0
PBIM,-10.0,-10.0,-10.0,-10.0,-10.0
RBIM,-10.0,-10.0,-10.0,-10.0,-10.0
RRBIM,-10.0,-10.0,-10.0,-10.0,-10.0
BF,-10.0,-10.0,-10.0,-10.0,-10.0
RERCM,-9.838890894823384,13.5,424.9918870962358,388.46800249592866,21928847.392471224
RERRM,-10.0,-10.0,-10.0,-10.0,-10.0
RERCBIM,-35.64955626545124,6.109,334.30020858824,27.568144312560957,2007097.3371204678
RERRBIM,-76.71155700163871,12.688,5905.721070978449,395.2993911130354,2272233948.965283
REBF,11.172554834549958,120.0649998188019,6.26634146108691e-07,1.4445088580623822e-05,1.2142362248557097e-08
Meta-GA,11.190029133850828,119.8128552,1.688788883586337e-07,6.371882030246898e-08,1.4427056187088742e-11
Meta-GWO,11.18803028408579,140.8403538,1.7922417978760348e-07,6.542258882703976e-08,1.847587722775191e-11
Meta-PSO,11.182142363309005,125.6994589,1.7740107341681204e-07,6.719790520114726e-08,1.675600199337088e-11
Meta-WOA,11.189887254486969,142.0594191,1.4171266491255644e-07,4.108675254505045e-08,9.255635148603538e-12
