,dv,dph,dpg,dqg,dpl,dql
PM,2.3543228871032946e-06,0.24738779017540458,4.250602464302684e-08,6.650631543745496e-09,3.906685089100989e-08,5.709022797935484e-09
RM,2.3543228868291816e-06,0.24738779017547324,4.2506024762786175e-08,6.6506315728855765e-09,3.90668509065124e-08,5.709022802881633e-09
RRM,2.354331591689904e-06,0.24738778753178836,4.2506279533319766e-08,6.650691386567052e-09,3.906710066519424e-08,5.709087400085046e-09
PBIM,2.35432288714388e-06,0.24738779017541704,4.25060242342508e-08,6.6506315874217985e-09,3.906685053291395e-08,5.709022853440274e-09
RBIM,2.3543228870020055e-06,0.24738779017546694,4.250602448860907e-08,6.650631590919999e-09,3.9066850301397676e-08,5.709022899224957e-09
RRBIM,2.3543321995137624e-06,0.24738778739965753,4.250629126447134e-08,6.650693634646391e-09,3.9067111837873345e-08,5.709089530076193e-09
BF,0.007965956210363768,0.005101543334278399,0.0001823120720362623,0.00012031670114596077,0.00018221202360470918,0.00012040044310994324
RERCM,0.0,0.0,0.0,0.0,0.0,0.0
RERRM,0.02600027819400173,0.19870711199101598,0.03964364219203059,0.199239328263533,0.03956304905662007,0.19923883413639137
RERCBIM,3.1942401048146323e-06,0.2473212180526791,2.5112603713122315e-06,7.085988222460671e-07,3.7023072611641694e-08,5.477782033950332e-09
RERRBIM,7.518214538468658e-06,0.24751690666419443,1.4763714558100588e-07,1.3844818688452237e-08,1.3672523075928043e-07,9.084494554316645e-09
REBF,0.00796595761220957,0.005101543234776662,0.00018231462318969133,0.00012031854969817287,0.0001822145758495015,0.00012040234799622952
Meta-GA,0.032380669938525994,0.3337186218015568,0.003916462977423067,0.0027363167660552764,0.003916042614482825,0.0027367858669427505
Meta-GWO,0.02043902474582092,0.3072353469361231,0.0017371429030888846,0.0012256261059888532,0.0017368715200080512,0.0012259488555059414
Meta-PSO,0.029391553705731793,0.3230863412077114,0.003792879207516218,0.002338251021470266,0.003792465052334836,0.0023386908573552736
Meta-WOA,0.01464884770327373,0.3073798345948399,0.0017824161511563437,0.0014526852465798668,0.0017821281934990666,0.0014530154042077547
