,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,3.7662405494519575,89.609,5.557010506335169e-07,5.55697232995471e-07,1.0421713690739409e-10
RM,3.7662405494552758,80.547,5.557089514541397e-07,5.557069892936708e-07,9.368081840759984e-11
RRM,3.766240551685165,111.5,2.902291294515358e-07,2.9022837013531477e-07,3.537233949773765e-11
PBIM,3.7662405494460454,78.938,5.556954433046796e-07,5.556958419250524e-07,9.180538503680308e-11
RBIM,3.7662405494465503,81.281,5.55712814377142e-07,5.557072589278123e-07,9.453520585989555e-11
RRBIM,3.766240551733474,68.407,2.85082477220408e-07,2.8507612644546737e-07,2.0938230331800707e-11
BF,3.804132408077397,23.53699994087219,4.528452519813458e-06,5.0338785346805415e-06,2.0410764958082336e-09
RERCM,3.765719108963799,138.875,0.0003619284559635734,0.0007392324112833956,0.0001399186880223305
RERRM,4.3393663342300455,2.625,0.010509951302267354,2.4017199694789326,0.2875270416132615
RERCBIM,3.75965130752262,20.313,0.010305699141980505,1.4304439673008644e-05,1.1258225585357221e-05
RERRBIM,3.7660243087435523,96.047,0.0004022082323047807,0.0006665216392157053,9.696882483418247e-05
REBF,3.80413478785725,1.32099986076355,7.22999813186978e-08,2.957117569458989e-06,1.0743986277153471e-12
Meta-GA,3.916735797374071,82.5872546,1.8407156390266854e-08,1.838688962196855e-08,1.0947936702375165e-13
Meta-GWO,3.867418640435095,97.9016729,1.4935982916609858e-08,1.4920931479950328e-08,8.438029575179187e-14
Meta-PSO,3.9157805512112858,84.4026785,1.76334557172933e-08,1.761468421644652e-08,1.0265659792169516e-13
Meta-WOA,3.8653504523285687,97.592668,1.6053748376661237e-08,1.6041554595086494e-08,9.714690560193811e-14
