,dv,dph,dpg,dqg,dpl,dql
PM,3.672016104368142e-22,1.602118800010437e-22,1.7100382143577016e-20,4.801182440261817e-21,2.033655445836981e-20,4.132378199819385e-21
RM,0.0,0.0,0.0,0.0,0.0,0.0
RRM,1.960468816271077e-08,0.00014200348513768727,4.9691916213046014e-11,2.137232833757451e-11,4.969241081060068e-11,2.1372293046924326e-11
PBIM,5.490016669047659e-22,2.163532201353124e-22,1.4357742311557075e-20,1.0250484549400776e-20,1.6808377758953322e-20,1.2637680404602363e-20
RBIM,5.583753965165459e-22,2.08421181935076e-22,1.0852639375448408e-20,1.1410440060367507e-20,2.4146345366809893e-20,1.8551705493183502e-20
RRBIM,7.199915332512351e-09,0.00011438291892077924,2.9415424865542997e-13,1.267106191577592e-13,2.941927024158002e-13,1.2670658875799158e-13
BF,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
RERCM,0.006857628282570911,0.00019291364266480068,12.913125190549225,5.5604634306158385,23.47193328636361,6.499493170996832
RERRM,1.1951965803122003e-06,0.0001417244644630811,0.000265758043511359,0.00011450294323017232,0.0002657579771692816,0.00011450294190701753
RERCBIM,2.930410118812473e-07,0.00011439199159541615,426.9063199191283,183.8282325352345,0.0006040275576525292,8.57927285374191e-05
RERRBIM,0.00727250098695864,0.00015284206946404775,13.363320963509318,5.754320231672839,24.777471872439953,6.487006759048965
REBF,0.1660126826452007,0.00029251771054811205,544.9198386348469,234.64550917370772,544.9194055050368,234.64464274351423
Meta-GA,9.664666717992685e-08,4.179772955354108e-08,1.5614890928960998e-09,6.723842971492018e-10,1.561795714278616e-09,6.725014421886249e-10
Meta-GWO,1.2348534580589458e-08,5.332310496574681e-09,2.2069721275816527e-11,9.503361871882506e-12,2.2235985390941773e-11,9.569437058249633e-12
Meta-PSO,3.109839159075273e-08,1.3429635694216621e-08,6.685368821895483e-11,2.8787391078681725e-11,6.702265435503356e-11,2.8853934255469322e-11
Meta-WOA,1.5049202998808555e-08,6.4991934533982e-09,4.068947290495725e-11,1.7521073437846493e-11,4.0878832284584035e-11,1.7596212089168403e-11
