,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,0.064840778904113,199.734,3.235232493808797e-07,3.2365856884807344e-07,1.3561034725400764e-12
RM,0.06484077888615047,576.891,3.486204602576662e-07,3.483802510680714e-07,4.5430590991674755e-12
RRM,0.06484412861505007,75.93700000000001,6.139416125079731e-10,0.021740826676547684,6.572448904677058e-11
PBIM,0.06484077910056392,146.797,3.7646053301088056e-07,3.7685225801967115e-07,1.3503799447859374e-12
RBIM,0.06484077906225297,702.0,3.770581916326919e-07,3.773569117810819e-07,6.4765843455013976e-12
RRBIM,0.06483949125095059,77.61,7.235408572082846e-10,0.06093325056126432,2.218577932223393e-10
BF,-10.0,-10.0,-10.0,-10.0,-10.0
RERCM,-17.412104124311753,3.39,11.305709470351562,33.474413698948254,22338.8984480435
RERRM,-0.0003681098296683689,1.531,7.268883132515455e-10,0.12941308162394274,5.301496397243626e-14
RERCBIM,-72.07879924184002,1.062,135.87319444727441,0.20549879609558186,2137.3474521136864
RERRBIM,-17.446599529919467,1.39,9.121431542927168,34.23157720917503,7572.085432410774
REBF,102.55976182805688,3.691999912261963,0.00015398908374639138,166.078185309719,9.683697429972066
Meta-GA,0.06491953365485148,71.5523834,6.095598100042815e-07,6.065775880174868e-07,1.7175214946622784e-12
Meta-GWO,0.0648438530231048,88.3690844,6.090935020201734e-07,6.05926604294002e-07,2.114818767135404e-12
Meta-PSO,0.06485272340594883,73.1310663,6.0918456524367e-07,6.061357241304774e-07,1.7512530166853767e-12
Meta-WOA,0.06484699315441023,88.0406686,6.090060765961969e-07,6.0602519599978e-07,2.1071016253257936e-12
