,dv,dph,dpg,dqg,dpl,dql
PM,0.0,0.0,0.0,0.0,0.0,0.0
RM,6.463634235611338e-10,3.376427902925222e-10,1.4537780832956253e-12,1.0090604476339894e-12,1.4537447752917885e-12,1.0076648243578854e-12
RRM,1.224469806602805e-07,2.6402504666028037e-08,1.085949071546142e-09,2.4353716252719356e-10,1.0859474460245815e-09,2.4355887607960707e-10
PBIM,1.1201089635805729e-10,5.139869372051861e-11,1.544088479248981e-14,3.3194394273770415e-14,1.556565760247475e-14,3.229932042804144e-14
RBIM,3.4751775808635576e-10,1.7785546632593708e-10,3.6231533531874376e-13,3.1220702775807496e-13,3.6778559792432755e-13,3.087480247088509e-13
RRBIM,1.5448032347858169e-07,3.7283871906161756e-08,1.289548811109306e-09,4.2222811548929494e-10,1.2895410802931503e-09,4.223037013495664e-10
BF,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
RERCM,3.099476154260516,0.7105602373259671,54.06081451262717,4546.6091673401215,1648.6682365589763,746.6598639809129
RERRM,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
RERCBIM,0.01586341030821022,0.058577885999575766,134.88156798118723,27206.631158971257,3.0748180565182377,15.899920412700407
RERRBIM,7.76557470531667,0.06626055203424888,2.47840274343122,4128.704759584363,1649.6855022848165,746.881169780112
REBF,2.5063109373673796e-06,0.1415290453064064,4.1801302349019074e-08,1.6071966903041776e-08,4.180089981748391e-08,1.6071973802142452e-08
Meta-GA,0.001143651500358138,0.000655152773065142,0.00011120742436569183,3.0075677708584254e-05,0.0001112073633127259,3.0075642269674676e-05
Meta-GWO,0.002614253064309208,0.0014833006670772423,0.00020134215172296524,4.692773636744621e-05,0.00020134206816385506,4.692768201942152e-05
Meta-PSO,0.0008353423136982778,0.0004366432789263432,0.00014187600168663755,4.46897082781527e-05,0.00014187597447177976,4.468967097335006e-05
Meta-WOA,0.0011651889154459688,0.00064721877548049,0.0001905873608425753,5.3225203100633675e-05,0.00019058728704429386,5.322514732576771e-05
