,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,6.736228104265592,2633.094,3.109627812730515e-06,3.1035702508976204e-06,1.711800467794716e-07
RM,6.736231927754204,910.86,2.731521297835368e-06,2.7204466754596202e-06,4.5594606376441015e-08
RRM,6.736331633741658,3431.843,4.577857434461565e-08,3.3828791016575387e-06,3.5801367183795717e-09
PBIM,6.736228223534854,1131.047,2.9902491429070723e-06,2.9855318550746364e-06,6.801841831970111e-08
RBIM,6.736229977553645,671.875,2.6634720355622095e-06,2.6467967279056374e-06,3.190612907504649e-08
RRBIM,6.736310832622179,2828.75,4.7766056927051564e-08,2.8497954114492627e-06,2.593879281477143e-09
BF,-10.0,-10.0,-10.0,-10.0,-10.0
RERCM,-23.05624960888687,16.016,344.572606141178,298.20904103432554,37944102.004002385
RERRM,-10.0,-10.0,-10.0,-10.0,-10.0
RERCBIM,-30.75322265631704,6.047,449.4259827761739,24.191294526793907,2021845.1331438243
RERRBIM,1.5816506618892363,21.344,351.3782119218815,306.20267903895615,3632203.681479268
REBF,6.736607308420075,12.12599992752075,1.2233918209246518e-07,2.468584178374339e-06,2.4670179377704724e-11
Meta-GA,6.769285870218084,112.4565917,1.6845369007179549e-07,6.098216095860625e-08,7.820078464399885e-12
Meta-GWO,6.780523864662953,134.2813827,1.6766195481410973e-07,6.701905649263529e-08,1.0230854027479724e-11
Meta-PSO,6.7736194774989755,117.813926,1.6952171593333316e-07,5.578788268016581e-08,7.547144110400339e-12
Meta-WOA,6.779079427384396,151.640015,1.8397189121757058e-07,6.480471686268173e-08,1.2255827268622091e-11
