,dv,dph,dpg,dqg,dpl,dql
PM,0.062221414440313094,0.004903807713292259,0.021751119530434973,0.009599834076197855,6.981312678288846,3.1033504652904007
RM,0.062221414422937764,0.004903807712954609,0.021751119526778242,0.009599834074578335,6.981312678223928,3.1033504652612347
RRM,0.06222141546204018,0.004903807645465374,0.021751119811557786,0.009599834207739029,6.98131268337817,3.1033504677147823
PBIM,0.062221414440329505,0.004903807713294569,0.02175111953013699,0.009599834076290663,6.981312678282819,3.1033504652911494
RBIM,0.06222141442378497,0.00490380771297186,0.02175111952682078,0.009599834074742396,6.981312678221951,3.1033504652639436
RRBIM,0.06222141557249278,0.004903807669913542,0.021751119826427565,0.009599834215380333,6.981312683642704,3.103350467850659
BF,0.06814108007610173,0.14387983723670966,0.022023432834670936,0.00984340536119787,6.98613323354787,3.107733904385177
RERCM,0.062224677657666934,0.15132609224955815,0.02174560724418341,0.009597508040889966,6.981229775998038,3.103317343953422
RERRM,0.059517787472843635,0.011848694759633668,0.07700860301438466,0.1812792449092926,7.382954150024666,2.346520022098237
RERCBIM,0.06241757968698928,0.004982578382892516,0.021311683686559155,0.009426295132659787,6.981269250403749,3.103371915882209
RERRBIM,0.06230213635609449,0.004951589962253178,0.021731455801144987,0.009590487562751932,6.981078583806554,3.103240088602014
REBF,0.06814114822280433,0.14387983666622578,0.022023490775574844,0.009843435263536877,6.986134576470838,3.107734846027355
Meta-GA,0.002603968253723362,0.002394590114049458,0.00046331221656505247,0.00033393989531698565,0.0004633121184656822,0.0003339398336775556
Meta-GWO,0.0,0.0,0.0,0.0,0.0,0.0
Meta-PSO,0.001523255996407913,0.0010927160104605117,0.00017189988050571553,9.586685506804676e-05,0.0001718998457921746,9.586683643471298e-05
Meta-WOA,0.0005006877549127489,0.00048148707238423056,5.3440755844571654e-05,4.1201852047233496e-05,5.3440745465180054e-05,4.120184529511208e-05
