,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,3.1707426454850633,6.578,18.08398331300981,18.0839833129979,6820.921606376112
RM,3.1707427070052603,6.219,18.083982484140602,18.083982484167965,6448.66348504917
RRM,3.1707494158673626,99.92200000000001,18.0839819165085,18.083981916318745,103612.26494282462
PBIM,3.1707426488117108,6.125,18.083983228467897,18.083983228343964,6351.19253450971
RBIM,3.1707427070560317,6.282,18.08398248394555,18.083982483462535,6513.9900324345335
RRBIM,3.170742825441307,5.547,18.08398187598441,18.08398187555855,5751.846805097287
BF,3.170886041245606,84.02500009536743,18.08394598419247,18.08394744889997,87131.58077965524
RERCM,2.6436301835259473,15.641,15.176196378019045,13.936090510270263,8745.187265321574
RERRM,1.3087443380352628,28.906,29.16709861771147,25.540481267566317,28181.56589255607
RERCBIM,-3.740627414696892,11.594,42.30979733332317,18.06636299911489,33150.44980705436
RERRBIM,2.7990712790398944,8.547,15.67477741657176,14.806562367063192,5552.432463762995
REBF,3.170888096638281,1.941999912261963,18.083981835780197,18.08398288385029,2013.8089704453182
Meta-GA,2.4828595565684264,94.9736612,3.038730060403428e-08,3.08946316550176e-08,2.2137597057390042e-13
Meta-GWO,2.4857279781987067,115.9685009,2.9797869476715133e-08,3.0492256933986175e-08,2.6191985870291523e-13
Meta-PSO,2.483283975266172,99.2711052,3.1261124655508664e-08,3.172880476712045e-08,2.445161525816106e-13
Meta-WOA,2.5072874897588697,113.009138,3.512068063998288e-08,3.585396484969914e-08,3.5679421841489754e-13
