,dv,dph,dpg,dqg,dpl,dql
PM,0.00017589227328715457,3.8035930168938734e-06,7.544402089079581e-06,3.248661777729832e-06,0.7028216150136151,0.15317540879801872
RM,0.00017589227322186392,3.8035930106783588e-06,7.5444018954104196e-06,3.2486616538956645e-06,0.7028216150470743,0.15317540880925265
RRM,0.0001760814768271127,7.158537580904136e-05,7.570045884347429e-06,3.2597040910881164e-06,0.702829188675575,0.1531778087354982
PBIM,0.0001758922731837987,3.8035930117758013e-06,7.544402207077615e-06,3.2486614272122417e-06,0.7028216151127309,0.1531754087530403
RBIM,0.00017589227317500253,3.8035930111117135e-06,7.5444020632234055e-06,3.2486614469391537e-06,0.7028216150932491,0.1531754087557749
RRBIM,0.00017589223853083202,5.7913276652081194e-05,7.544402227503767e-06,3.2486615339162847e-06,0.7028216150768575,0.15317540879091937
BF,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
RERCM,0.0037632283203030796,0.00021911893725320612,11.41616089911287,4.915862291693854,17.160705879057893,4.270605505222943
RERRM,0.00017462658058608728,7.146614706055598e-05,0.00012591992805178519,5.4593764892521836e-05,0.6913075103455739,0.1496087688654959
RERCBIM,0.00021898692798394775,5.653766507618529e-05,1.0852974603666292,0.46733511452680443,0.7035360700456086,0.15339936542125587
RERRBIM,0.0011245081738376365,7.42932994086743e-05,11.113923637990935,4.785717248785996,4.586175236986163,4.259186371880011
REBF,0.1279382131699308,0.00015166827227999606,398.37648261151446,171.5431261242781,421.7771745562312,178.7129284858684
Meta-GA,4.0561748949728905e-09,1.7548915976997272e-09,2.178956995892751e-11,9.382709829454294e-12,2.1788582706012604e-11,9.382457148580373e-12
Meta-GWO,0.0,0.0,0.0,0.0,0.0,0.0
Meta-PSO,4.3559259734282305e-09,1.8830090818064414e-09,3.788511271820946e-12,1.6313539765911504e-12,3.788280600349267e-12,1.6312800071171273e-12
Meta-WOA,2.4049439972616763e-09,1.0391796065360363e-09,2.1140097356866024e-12,9.103043291101336e-13,2.1139317309020826e-12,9.102589559027568e-13
