,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,0.05213945051218616,35.21899999999999,4.865312799133449,4.865312799471286,43.467534204298026
RM,0.05213945028492617,32.859,4.865312807375259,4.865312807291639,40.55480578406092
RRM,0.052160521125301784,50.14,4.865312499387674,4.851892183762739,61.73737121392777
PBIM,0.05213945058392237,31.828,4.865312810682776,4.86531281061246,39.28233870950531
RBIM,0.052139450504909576,33.375,4.86531281109553,4.865312810833092,41.19165679947335
RRBIM,0.05213945070261142,6.343,4.865312464257702,4.827261315618461,7.767347034518864
BF,-10.0,-10.0,-10.0,-10.0,-10.0
RERCM,-16.45243042111028,3.172,10.188294720260904,27.61391965081095,14682.256188488258
RERRM,-0.0004719674639802364,1.344,4.865312457146095,4.764981255293744,0.014705617394123125
RERCBIM,-4.033044412542854,1.094,11.873427905117607,4.824975052275704,252.76766599684098
RERRBIM,-16.089882865378172,3.453,10.717272889321256,18.464350965194324,10994.305393949484
REBF,91.55763602654852,4.275000095367432,4.865304055088201,153.704837302912,292703.7063376384
Meta-GA,0.04107798288739062,69.7228279,3.2392520656608116e-07,3.208793438155663e-07,2.9769436107121423e-13
Meta-GWO,0.041068629364168,83.0961568,3.2325161203985715e-07,3.2053729434268863e-07,3.5359849919319903e-13
Meta-PSO,0.04107021274132938,68.9120719,3.231406538455484e-07,3.2043551303536914e-07,2.9305862069230124e-13
Meta-WOA,0.04107316444590614,83.1781951,3.235332142958406e-07,3.205779519070352e-07,3.5433999826928116e-13
