,$x$,F,I/S,$P_{loss}$,$\Sigma p(I_{pv})$,$1/\Sigma p(DC)$,$t[s]$,Inf1,Inf2,$\Pi |x|$
\multirow{7}{*}{IEEE33},$P_{loss}$,Meta,GWO_PAR,$\cellcolor{green}5.57e+00$,$7.35e-01$,$9.86e-03$,$1.54e+02$,$3.20e-08$,$3.2e-08$,$6.35e-15$
,$\Sigma p(I_{pv})$,PM,AB,$5.76e+00$,$\cellcolor{green}1.58e-01$,$9.12e-03$,$1.55e+01$,$7.85e-07$,$7.85e-07$,$7.94e-14$
,$1/\Sigma p(DC)$,REBF,G,$6.52e+00$,$1.89e-01$,$\cellcolor{green}8.65e-03$,$3.77e+01$,$6.06e-07$,$1.08e-05$,$2.64e-12$
,$t[s]$,PM,AB,$5.76e+00$,$1.58e-01$,$9.12e-03$,$\cellcolor{green}1.55e+01$,$7.85e-07$,$7.85e-07$,$7.94e-14$
,Inf1,Meta,GWO_PAR,$5.57e+00$,$7.35e-01$,$9.86e-03$,$1.54e+02$,$\cellcolor{green}3.20e-08$,$3.2e-08$,$6.35e-15$
,Inf2,Meta,GWO_PAR,$5.57e+00$,$7.35e-01$,$9.86e-03$,$1.54e+02$,$3.20e-08$,$\cellcolor{green}3.2e-08$,$6.35e-15$
,$\Pi |x|$,Meta,GWO_PAR,$5.57e+00$,$7.35e-01$,$9.86e-03$,$1.54e+02$,$3.20e-08$,$3.2e-08$,$\cellcolor{green}6.35e-15$
\multirow{7}{*}{IEEE69},$P_{loss}$,Meta,GWO_PAR,$\cellcolor{green}5.86e+00$,$6.7e-01$,$9.74e-03$,$1.72e+02$,$4.54e-08$,$4.52e-08$,$1.35e-14$
,$\Sigma p(I_{pv})$,REBF,G,$6.84e+00$,$\cellcolor{green}1.45e-01$,$8.65e-03$,$2.79e+01$,$2.79e-11$,$2.26e-06$,$1.51e-17$
,$1/\Sigma p(DC)$,REBF,G,$6.84e+00$,$1.45e-01$,$\cellcolor{green}8.65e-03$,$2.79e+01$,$2.79e-11$,$2.26e-06$,$1.51e-17$
,$t[s]$,REBF,G,$6.84e+00$,$1.45e-01$,$8.65e-03$,$\cellcolor{green}2.79e+01$,$2.79e-11$,$2.26e-06$,$1.51e-17$
,Inf1,REBF,G,$6.84e+00$,$1.45e-01$,$8.65e-03$,$2.79e+01$,$\cellcolor{green}2.79e-11$,$2.26e-06$,$1.51e-17$
,Inf2,Meta,GWO_PAR,$5.86e+00$,$6.7e-01$,$9.74e-03$,$1.72e+02$,$4.54e-08$,$\cellcolor{green}4.52e-08$,$1.35e-14$
,$\Pi |x|$,REBF,G,$6.84e+00$,$1.45e-01$,$8.65e-03$,$2.79e+01$,$2.79e-11$,$2.26e-06$,$\cellcolor{green}1.51e-17$
\multirow{7}{*}{SA},$P_{loss}$,Meta,GWO_PAR,$\cellcolor{green}1.03e-01$,$1.72e+00$,$9.2e-03$,$1.40e+02$,$4.01e-07$,$3.97e-07$,$3.63e-14$
,$\Sigma p(I_{pv})$,PM,AB,$1.26e-01$,$\cellcolor{green}3.67e-02$,$8.74e-03$,$1.32e+01$,$4.79e-07$,$4.79e-07$,$1.23e-16$
,$1/\Sigma p(DC)$,PM,AB,$1.26e-01$,$3.67e-02$,$\cellcolor{green}8.74e-03$,$1.32e+01$,$4.79e-07$,$4.79e-07$,$1.23e-16$
,$t[s]$,PM,AB,$1.26e-01$,$3.67e-02$,$8.74e-03$,$\cellcolor{green}1.32e+01$,$4.79e-07$,$4.79e-07$,$1.23e-16$
,Inf1,Meta,GWO_PAR,$1.03e-01$,$1.72e+00$,$9.2e-03$,$1.40e+02$,$\cellcolor{green}4.01e-07$,$3.97e-07$,$3.63e-14$
,Inf2,Meta,GWO_PAR,$1.03e-01$,$1.72e+00$,$9.2e-03$,$1.40e+02$,$4.01e-07$,$\cellcolor{green}3.97e-07$,$3.63e-14$
,$\Pi |x|$,PM,AB,$1.26e-01$,$3.67e-02$,$8.74e-03$,$1.32e+01$,$4.79e-07$,$4.79e-07$,$\cellcolor{green}1.23e-16$
\multirow{7}{*}{CA141},$P_{loss}$,Meta,GWO_PAR,$\cellcolor{green}1.39e+01$,$1.05e+00$,$9.9e-03$,$2.09e+02$,$2.55e-07$,$1.37e-07$,$1.05e-12$
,$\Sigma p(I_{pv})$,REBF,G,$1.61e+01$,$\cellcolor{green}3.97e-01$,$8.95e-03$,$1.94e+03$,$2.6e-06$,$8.85e-06$,$2.55e-09$
,$1/\Sigma p(DC)$,REBF,G,$1.61e+01$,$3.97e-01$,$\cellcolor{green}8.95e-03$,$1.94e+03$,$2.6e-06$,$8.85e-06$,$2.55e-09$
,$t[s]$,Meta,GWO_PAR,$1.39e+01$,$1.05e+00$,$9.9e-03$,$\cellcolor{green}2.09e+02$,$2.55e-07$,$1.37e-07$,$1.05e-12$
,Inf1,Meta,GWO_PAR,$1.39e+01$,$1.05e+00$,$9.9e-03$,$2.09e+02$,$\cellcolor{green}2.55e-07$,$1.37e-07$,$1.05e-12$
,Inf2,Meta,GWO_PAR,$1.39e+01$,$1.05e+00$,$9.9e-03$,$2.09e+02$,$2.55e-07$,$\cellcolor{green}1.37e-07$,$1.05e-12$
,$\Pi |x|$,Meta,GWO_PAR,$1.39e+01$,$1.05e+00$,$9.9e-03$,$2.09e+02$,$2.55e-07$,$1.37e-07$,$\cellcolor{green}1.05e-12$
