,$x$,F,I/S,$P_{loss}$,$\Sigma p(I_{pv})$,$1/\Sigma p(DC)$,$t[s]$,Inf1,Inf2,$\Pi |x|$
\multirow{7}{*}{IEEE33},$P_{loss}$,Meta,GWO_PAR,$\cellcolor{green}3.72e+00$,$1.38e+00$,$9.55e-03$,$1.53e+02$,$7.42e-09$,$7.41e-09$,$4.12e-16$
,$\Sigma p(I_{pv})$,PM,AB,$4.42e+00$,$\cellcolor{green}8.36e-02$,$8.85e-03$,$8.55e+00$,$7.13e-07$,$7.13e-07$,$1.42e-14$
,$1/\Sigma p(DC)$,REBF,G,$4.63e+00$,$8.57e-02$,$\cellcolor{green}8.59e-03$,$7.29e+00$,$2.84e-05$,$3.82e-05$,$2.69e-11$
,$t[s]$,REBF,G,$4.63e+00$,$8.57e-02$,$8.59e-03$,$\cellcolor{green}7.29e+00$,$2.84e-05$,$3.82e-05$,$2.69e-11$
,Inf1,Meta,GWO_PAR,$3.72e+00$,$1.38e+00$,$9.55e-03$,$1.53e+02$,$\cellcolor{green}7.42e-09$,$7.41e-09$,$4.12e-16$
,Inf2,Meta,GWO_PAR,$3.72e+00$,$1.38e+00$,$9.55e-03$,$1.53e+02$,$7.42e-09$,$\cellcolor{green}7.41e-09$,$4.12e-16$
,$\Pi |x|$,Meta,GWO_PAR,$3.72e+00$,$1.38e+00$,$9.55e-03$,$1.53e+02$,$7.42e-09$,$7.41e-09$,$\cellcolor{green}4.12e-16$
\multirow{7}{*}{IEEE69},$P_{loss}$,Meta,GWO_PAR,$\cellcolor{green}3.89e+00$,$9.25e-01$,$9.37e-03$,$1.69e+02$,$1.26e-08$,$1.23e-08$,$8.8e-16$
,$\Sigma p(I_{pv})$,PM,AB,$4.41e+00$,$\cellcolor{green}7.74e-02$,$8.84e-03$,$5.90e+01$,$1.08e-06$,$1.08e-06$,$2.07e-13$
,$1/\Sigma p(DC)$,REBF,G,$4.74e+00$,$8.57e-02$,$\cellcolor{green}8.59e-03$,$3.44e+00$,$5.38e-07$,$1.92e-05$,$1.24e-13$
,$t[s]$,REBF,G,$4.74e+00$,$8.57e-02$,$8.59e-03$,$\cellcolor{green}3.44e+00$,$5.38e-07$,$1.92e-05$,$1.24e-13$
,Inf1,Meta,GWO_PAR,$3.89e+00$,$9.25e-01$,$9.37e-03$,$1.69e+02$,$\cellcolor{green}1.26e-08$,$1.23e-08$,$8.8e-16$
,Inf2,Meta,GWO_PAR,$3.89e+00$,$9.25e-01$,$9.37e-03$,$1.69e+02$,$1.26e-08$,$\cellcolor{green}1.23e-08$,$8.8e-16$
,$\Pi |x|$,Meta,GWO_PAR,$3.89e+00$,$9.25e-01$,$9.37e-03$,$1.69e+02$,$1.26e-08$,$1.23e-08$,$\cellcolor{green}8.8e-16$
\multirow{7}{*}{SA},$P_{loss}$,Meta,GWO_PAR,$\cellcolor{green}6.58e-02$,$2.84e+00$,$9.49e-03$,$1.38e+02$,$5.64e-07$,$5.61e-07$,$7.72e-14$
,$\Sigma p(I_{pv})$,PM,AB,$8.29e-02$,$\cellcolor{green}1.38e-02$,$8.81e-03$,$1.28e+01$,$5.43e-08$,$5.41e-08$,$3.82e-19$
,$1/\Sigma p(DC)$,PM,AB,$8.29e-02$,$1.38e-02$,$\cellcolor{green}8.81e-03$,$1.28e+01$,$5.43e-08$,$5.41e-08$,$3.82e-19$
,$t[s]$,PM,AB,$8.29e-02$,$1.38e-02$,$8.81e-03$,$\cellcolor{green}1.28e+01$,$5.43e-08$,$5.41e-08$,$3.82e-19$
,Inf1,PM,AB,$8.29e-02$,$1.38e-02$,$8.81e-03$,$1.28e+01$,$\cellcolor{green}5.43e-08$,$5.41e-08$,$3.82e-19$
,Inf2,PM,AB,$8.29e-02$,$1.38e-02$,$8.81e-03$,$1.28e+01$,$5.43e-08$,$\cellcolor{green}5.41e-08$,$3.82e-19$
,$\Pi |x|$,PM,AB,$8.29e-02$,$1.38e-02$,$8.81e-03$,$1.28e+01$,$5.43e-08$,$5.41e-08$,$\cellcolor{green}3.82e-19$
\multirow{7}{*}{CA141},$P_{loss}$,Meta,GWO_PAR,$\cellcolor{green}1.00e+01$,$1.67e+00$,$9.77e-03$,$2.03e+02$,$2.64e-07$,$1.49e-07$,$1.30e-12$
,$\Sigma p(I_{pv})$,REBF,G,$1.21e+01$,$\cellcolor{green}2.25e-01$,$8.71e-03$,$3.39e+02$,$3.64e-09$,$3.67e-06$,$1.08e-13$
,$1/\Sigma p(DC)$,REBF,G,$1.21e+01$,$2.25e-01$,$\cellcolor{green}8.71e-03$,$3.39e+02$,$3.64e-09$,$3.67e-06$,$1.08e-13$
,$t[s]$,Meta,GWO_PAR,$1.00e+01$,$1.67e+00$,$9.77e-03$,$\cellcolor{green}2.03e+02$,$2.64e-07$,$1.49e-07$,$1.30e-12$
,Inf1,REBF,G,$1.21e+01$,$2.25e-01$,$8.71e-03$,$3.39e+02$,$\cellcolor{green}3.64e-09$,$3.67e-06$,$1.08e-13$
,Inf2,Meta,GWO_PAR,$1.00e+01$,$1.67e+00$,$9.77e-03$,$2.03e+02$,$2.64e-07$,$\cellcolor{green}1.49e-07$,$1.30e-12$
,$\Pi |x|$,REBF,G,$1.21e+01$,$2.25e-01$,$8.71e-03$,$3.39e+02$,$3.64e-09$,$3.67e-06$,$\cellcolor{green}1.08e-13$
