,$\overline{I_{pv}}$,"('$I_{pv}$', 'IEEE33', 'PM')","('$I_{pv}$', 'IEEE69', 'PM')","('$I_{pv}$', 'SA', 'PM')","('$I_{pv}$', 'CA141', 'PM')"
0,2.117647058823529e-06,0.0,0.0,0.0,0.0
1,1.5235294117647054e-05,0.0,0.0,0.0,0.0
2,1.4970588235294114e-05,0.0,0.0,0.0,0.0
3,1.5235294117647054e-05,0.0,0.0,0.0,0.0
4,1.3823529411764705e-05,0.0,0.0,0.0,0.0
5,1.3029411764705883e-05,0.0,0.0,0.0,0.0
6,7.614705882352946e-05,0.0,0.0,0.0,0.0
7,0.03270776470588236,0.0009,0.0009,0.0009,0.0009
8,0.17636952941176431,0.01707278301007559,0.01515806446551071,0.006300075609896415,0.02760329254622613
9,0.3265408529411767,0.07468270878465166,0.07019828451579872,0.009216755750741287,0.1067905426840819
10,0.43208194117647025,0.1211664004275536,0.1178712020590456,0.04825015630567105,0.1734522289228216
11,0.4825505882352945,0.1607519599331931,0.1608952073177585,0.07050037619566148,0.2108795869538261
12,0.4787381176470578,0.1543104105049503,0.1528666802013253,0.04250398746407942,0.2045352524532902
13,0.44690126470588254,0.1340998368682375,0.1330789376200344,0.0443005709335309,0.1822492749254252
14,0.41711432352941186,0.07100093443036642,0.06688491942875684,0.04340001813572891,0.1280025373745559
15,0.34647229411764674,0.03105834989905038,0.02859718466071397,0.01260002636745837,0.06650042871045597
16,0.24451802941176476,0.006,0.006,0.006000000793484323,0.01330530582826124
17,0.13852517647058846,0.0036,0.0036,0.0036,0.0036
18,0.044411117647058844,0.00045,0.00045,0.00045,0.00045
19,0.0008992941176470528,0.0,0.0,0.0,0.0
20,6.911764705882353e-06,0.0,0.0,0.0,0.0
21,8.294117647058823e-06,0.0,0.0,0.0,0.0
22,1.8882352941176474e-05,0.0,0.0,0.0,0.0
23,5.764705882352941e-06,0.0,0.0,0.0,0.0
