,dv,dph,dpg,dqg,dpl,dql
PM,1.3471921108670243e-17,2.2996198834945267e-19,5.2557273682351537e-17,5.3117964254479073e-17,2.5998373308624953e-15,1.3841681397630042e-15
RM,7.433748641174628e-15,1.012723901600819e-18,2.8633817151008766e-14,1.3866951300892181e-14,1.4231789723950784e-12,7.016593646517721e-13
RRM,5.631620686697658e-25,2.054757813573801e-05,2.1567320330679213e-21,2.3016977324113136e-21,1.1512579284364707e-21,1.2896439757971679e-22
PBIM,1.3197952433387312e-17,2.766219890080607e-19,5.236294513725587e-17,4.6348395340765006e-17,2.5959535223305405e-15,1.3117854183231941e-15
RBIM,7.438741647381465e-15,9.331872527129537e-19,2.865044110879775e-14,1.4418855528609496e-14,1.4232288659015734e-12,7.029426053959694e-13
RRBIM,1.29561356379846e-18,8.90118543465618e-18,3.963724992146627e-15,9.789226541639957e-17,3.957279313594999e-15,1.1911939786728098e-16
BF,2.105305175665509e-12,0.010637798289559857,3.4426664499938017e-13,1.8990560906721408e-13,1.4293427927494506e-11,3.891532040937028e-11
RERCM,0.0007950847054999475,0.011775433108411495,0.11022359946471372,0.5715911964524603,0.4003562781903008,0.21873563490395423
RERRM,5.6125427001318997e-05,0.00010846943469541484,0.00046527601344491346,0.037678550667245646,0.00046527601332641976,0.037678551402958345
RERCBIM,9.248795875374983e-06,1.6500295111470015e-05,3.368187313434915e-05,0.0006199597239559285,2.9094004481821343e-05,0.00641953411487904
RERRBIM,9.695071284873719e-12,1.0422306140051101e-11,2.507036189148716e-09,1.3630431117646553e-06,7.672089319652929e-10,5.0278814441298316e-09
REBF,1.9394703104999587e-17,0.010637773549902063,5.51557351904869e-20,2.533705835746132e-19,6.427661264222963e-16,4.742222982284159e-16
MAT,0.0,0.0,0.0,0.0,0.0,0.0
