,$\overline{SSE}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,6.838970986098916e-16,0.07900000000000001,1.4186077172510803e-07,1.421673637756481e-07,1.0896325820385372e-30
RM,3.6246231114397125e-13,0.07800000000000001,1.744291798084531e-06,1.7416824579271063e-06,8.589058769243961e-26
RRM,3.424596355956336e-06,464.11,8.352686068843762e-10,121644.30278670431,1.6149097212479983e-07
PBIM,6.699874759256918e-16,0.078,1.461584352886337e-07,1.4644387259149864e-07,1.118552511122434e-30
RBIM,3.627800737949307e-13,0.078,1.7427147701263698e-06,1.7423342339551787e-06,8.592030487351261e-26
RRBIM,1.3580354613372937e-15,0.172,2.3168472898760714e-09,1.5677643425269424e-07,8.484333847152535e-32
BF,0.001772966390901347,0.09100008010864258,8.996865359858254e-06,42.24534923998472,6.132144830956356e-08
RERCM,0.21891287113755672,0.625,0.5954235648343441,40.94484840551659,3.335620239825844
RERRM,0.01274204149311201,19.328,2.5102916733146796e-09,170483.3739424062,0.0001053979464160834
RERCBIM,0.0011880031345729973,0.078,0.059976401918688665,0.07632195601002632,4.241720904334571e-07
RERRBIM,2.2856089261788736e-07,0.1019999980926514,0.0013151366585835824,0.0007277060376491003,2.2311509251346345e-14
REBF,0.0017729622583171998,0.05799984931945801,7.069961376602063e-08,42.24617563196263,3.0713605201470335e-10
MAT,0.0,0.0025024,2.695637707585019e-09,2.695637707585019e-09,0.0
