,dv,dph,dpg,dqg,dpl,dql
PM,2.038691168149958e-17,7.137269138768756e-19,2.9561647895211282e-18,2.764939244666285e-19,2.561036600210009e-13,1.5115050112383887e-13
RM,2.3645118401107224e-17,1.0754038147232046e-18,3.2365103688846576e-18,2.798630061862841e-19,3.9551819345370877e-13,1.494786176401544e-13
RRM,1.2105856986331318e-25,2.598447990308378e-25,5.683647884633377e-23,3.2884255799661867e-21,1.8584916139950847e-22,6.803762991511369e-22
PBIM,2.0396307302700053e-17,7.131898557163688e-19,3.0078433106262674e-18,2.535567537540589e-19,2.5607545967012956e-13,1.5118617548310528e-13
RBIM,2.3661472855847382e-17,1.0748948098933571e-18,3.418991124159998e-18,2.2980718780996415e-19,3.9557760934089455e-13,1.4953912044488904e-13
RRBIM,2.113049264981129e-11,4.3026069942572676e-14,4.098480954119522e-08,1.171162990487317e-07,4.1000848932221766e-08,1.171516385118823e-07
BF,5.800449002287678e-13,0.016760460315681725,1.7944145701074195e-15,3.148440783873641e-16,4.2525884774304187e-14,1.7719976931236685e-15
RERCM,1.1797719843364598e-20,2.734871988983144e-23,9.086079142498465e-18,1.9118126641389204e-17,9.105633389214525e-18,1.889673798936194e-17
RERRM,8.797403850632596e-09,0.01676139320701217,5.891223244655876e-06,1.3814227304345543e-05,4.940612176056825e-06,9.7917108590891e-06
RERCBIM,6.115239846517115e-09,2.995682008862286e-11,2.5372636312885292e-06,3.600131808680148e-05,6.887123917413642e-07,8.500937754141822e-06
RERRBIM,6.115239846517115e-09,2.995682008862286e-11,2.5372636160542084e-06,3.6001318073548006e-05,6.887123917413642e-07,8.500937754141822e-06
REBF,2.492463772209132e-12,0.01676045758029097,7.261713756702542e-15,2.5132771808150134e-15,5.109438477686806e-16,3.965595873279226e-20
MAT,0.0,0.0,0.0,0.0,0.0,0.0
