,dv,dph,dpg,dqg,dpl,dql
PM,4.626347454250017e-19,1.7881177145285172e-20,7.981696352247606e-20,3.2445434170576595e-20,1.5281679607339352e-15,5.565768283679374e-16
RM,4.627184574751564e-19,1.7827004517595952e-20,4.539298827732466e-20,3.283568212531541e-20,1.5278019419580566e-15,5.571717241672406e-16
RRM,4.624151018182481e-19,8.565792269159166e-06,5.447847614839216e-20,3.950983203331329e-20,1.5268585152900225e-15,5.568017691713759e-16
PBIM,1.450563663285378e-19,6.171874673369288e-20,1.510152292849293e-20,5.8468898116170156e-21,1.0395693276016394e-15,3.88344396812837e-17
RBIM,4.62701208590244e-19,1.7963077443592933e-20,5.825665731155805e-20,2.6853004520115165e-20,1.529308949830495e-15,5.558803954005592e-16
RRBIM,4.6211150511719875e-19,6.9877040543892215e-06,5.538426856912342e-20,2.4896647741221723e-20,1.526507488277239e-15,5.559442977389588e-16
BF,2.0901259773652492e-14,1.519366983892635e-05,2.3544921698181295e-16,1.0138562786140745e-16,6.120158944971285e-12,3.6854357916895667e-13
RERCM,4.391541558073202e-09,6.987888749041025e-06,1.3428206758383607e-05,5.782260328610421e-06,1.3427972980330997e-05,5.782158410282971e-06
RERRM,4.50507096182324e-09,8.565792669762213e-06,1.3529258640725575e-05,5.825773828743388e-06,1.3528972850020369e-05,5.8256607551813e-06
RERCBIM,1.3193952176559531e-16,6.987628406771295e-06,1.3890265882947966e-12,5.981225553487303e-13,4.144142480034807e-13,1.5999575045895185e-13
RERRBIM,3.219481060774651e-15,6.987680753988172e-06,9.992897092995055e-10,4.302999283259934e-10,1.1858718104577055e-11,3.853146181581803e-12
REBF,4.898252178728222e-19,1.5186857452838045e-05,1.2907683818034453e-18,5.558197404319261e-19,1.5993079157301041e-15,5.839239059156485e-16
MAT,0.0,0.0,0.0,0.0,0.0,0.0
