,$\overline{SSE}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,3.475562612370226e-16,0.031,1.431142444136002e-10,1.6833214183076098e-10,2.5955937631445093e-37
RM,3.4758874004294877e-16,0.016,1.99071153658692e-10,1.86751337772969e-10,2.0675581681250017e-37
RRM,1.4276320452072304e-06,9.171999999999999,1.129066787980415e-10,8.816218212924483,1.3034137477917913e-14
PBIM,1.7977191513478757e-16,0.031,8.807498221539978e-08,8.805239084103499e-08,4.321925293964948e-32
RBIM,3.4762585319648667e-16,0.032,1.5354702405379062e-10,1.9001316105188636e-10,3.245541245575143e-37
RRBIM,1.1646173427453691e-06,0.094,1.4515375880430614e-10,19.298195752059343,3.0665927214509465e-16
BF,2.5322793914778284e-06,0.246999979019165,3.117823717244117e-06,20.422856691617124,3.982690730077732e-11
RERCM,7.568813128034515e-06,0.14,1.2647400865017264e-08,19.30331139931951,2.5869552671979093e-13
RERRM,7.879993969232446e-06,0.75,1.4826917818511198e-10,8.82105095212364,7.729623838930875e-15
RERCBIM,1.1646051614103962e-06,0.031,0.00010187924247722843,19.29859494399503,7.098258355478762e-11
RERRBIM,1.1648543431182608e-06,0.02300000190734863,0.0005533761033223519,19.29833294743969,2.861143834411215e-10
REBF,2.531142909170602e-06,0.016,1.0870963851328241e-11,20.407036877610757,8.984308368871946e-18
MAT,0.0,0.0011558,7.725107793086766e-08,7.725107793086766e-08,0.0
