,dv,dph,dpg,dqg,dpl,dql
PM,2.397010300370868e-14,4.92350316022252e-16,5.3781421017848453e-14,2.7487520493474486e-14,3.648477768523327e-12,3.1965558560395784e-12
RM,4.3756181016984946e-14,2.2102463121651502e-16,1.007273758935625e-13,4.9637217154808834e-14,8.921668007375039e-12,3.4178458805237967e-12
RRM,9.112381533384208e-20,1.2233766496353757e-05,2.544197739393446e-19,2.871530557452216e-18,3.0118312761467644e-17,6.018575247739704e-18
PBIM,2.391014480193982e-14,4.80813787829114e-16,5.3647859455542956e-14,2.6743349568494765e-14,3.647421130538762e-12,3.17795684615278e-12
RBIM,4.377358812383475e-14,2.1931482240498516e-16,1.0076194650640256e-13,5.038430569878067e-14,8.922029178804017e-12,3.4220322311174956e-12
RRBIM,1.3124534241618174e-14,2.13542395806069e-14,8.536053580122936e-14,9.030993343520051e-12,8.247073260596836e-14,8.993055906263451e-12
BF,2.3550088206220042e-12,0.00624334966596556,2.805170327089965e-13,1.5681347771455593e-13,4.915160249113237e-11,1.48092599393247e-11
RERCM,0.0002968935165678689,0.0063828724443935475,0.12570529870854044,0.06705976936262309,0.14126751414035785,0.07732332976525724
RERRM,4.9126173265252416e-05,9.125351910387001e-05,0.00030869644265349536,0.03426965289271166,0.0003086962685761058,0.034269651354995816
RERCBIM,0.04405795832253282,0.09788106349910508,0.009720567954056342,16.094314192890998,0.07577748044156342,36.5440977432642
RERRBIM,7.484292550898688e-09,2.073306487410297e-09,5.558018050827384e-06,2.294638140317977e-06,5.5378814019448455e-06,9.174626190456266e-07
REBF,7.672940919621712e-11,0.006243348990544585,6.580642533753209e-14,4.1221222321539144e-14,1.2060175741215016e-10,1.2277967195767418e-10
MAT,0.0,0.0,0.0,0.0,0.0,0.0
