,dv,dph,dpg,dqg,dpl,dql
PM,8.700212059117741e-18,3.2272027857313807e-19,5.261529441178171e-18,2.330538022854033e-18,2.321734822354804e-15,6.409157512098242e-16
RM,3.5136273302044776e-17,1.3504892726998016e-19,1.6866524226998423e-17,8.055605375735316e-18,8.3264358301056715e-16,8.482007339667539e-16
RRM,1.9447886504026757e-28,9.311964703246637e-28,1.1666337778902186e-24,4.467250357974581e-26,2.959460989743202e-25,5.7667704323919016e-27
PBIM,8.700622813023862e-18,3.227315952074583e-19,5.264757283113287e-18,2.3303864185230953e-18,2.3218742976878534e-15,6.409405640929614e-16
RBIM,3.513596899325072e-17,1.350160615548122e-19,1.686605664726201e-17,8.053629455139137e-18,8.325853551919279e-16,8.481586873428414e-16
RRBIM,3.6861903625565495e-13,1.1487408718614268e-14,1.2823254970278818e-11,3.7316134706514765e-12,1.2827386124278912e-11,3.732752402085565e-12
BF,4.809539162651474e-14,0.0024972540016741838,1.190665104409665e-16,6.183467967326701e-17,7.90157236047361e-15,8.751584339205582e-15
RERCM,2.4922515458062477e-12,1.2607895083396437e-14,2.137194261551063e-10,1.0281479559056336e-10,3.191580087526438e-10,1.396435562028032e-10
RERRM,6.011810000847597e-12,0.002497267565501014,2.5596534893917495e-10,6.034014380830317e-10,4.2236891411970094e-10,7.252782471042945e-10
RERCBIM,2.457763351842133e-12,2.250452497662237e-13,2.779240372831746e-10,4.351991616538216e-11,8.491356286204211e-10,4.3465735785307676e-11
RERRBIM,1.1408421448639395e-11,6.047842702379578e-14,5.084351261604254e-10,2.4323410480975847e-10,1.6289832762234122e-09,7.102166128633461e-10
REBF,3.789740062266752e-15,0.002497254129206332,1.4655701833670633e-13,1.1985977061291812e-13,1.4684579102742442e-13,1.2001797555747649e-13
MAT,0.0,0.0,0.0,0.0,0.0,0.0
