,$\overline{SSE}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,4.965442622277252e-16,0.016,6.968008498843548e-08,6.968045442989207e-08,3.857425938503264e-32
RM,2.9017296146822826e-16,0.031,6.259787760365398e-08,6.259805992048922e-08,3.5248376446665824e-32
RRM,2.5235747103534025e-25,0.188,1.7930127868548418e-12,2.4536952331066786e-12,2.087267071249167e-49
PBIM,4.965722266484471e-16,0.031,6.968136955377152e-08,6.96817852516296e-08,7.474464203305497e-32
RBIM,2.9015578561532934e-16,0.031,6.259755364664693e-08,6.259847440057142e-08,3.5246341000600036e-32
RRBIM,5.58251890204484e-12,0.031,1.1409623012006986e-09,6.1823186333050464e-06,1.2207158279004244e-27
BF,0.00041620900028985225,0.0280001163482666,1.6366522818511003e-07,10.757766678560124,2.0518700125170282e-11
RERCM,1.2964010769033438e-10,0.078,4.929565918529791e-06,2.759638959918924e-05,1.3756087568926991e-21
RERRM,0.00041621159642112873,0.109,6.921747853778047e-06,10.757639001540092,3.3781071073963677e-09
RERCBIM,2.0278802107598232e-10,0.031,1.2484621871603797e-05,5.605367310212127e-05,4.399298803779271e-21
RERRBIM,5.170563366554342e-10,0.031,0.00010515502476004645,6.253522620346119e-05,1.054033256536309e-19
REBF,0.0004162090216239004,0.01800012588500977,5.617008241344534e-09,10.7577416104081,4.527028221035079e-13
MAT,0.0,0.0088292,1.1074047928660846e-11,1.1074047928660846e-11,0.0
